Test angle: 90
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | -0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | -0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | -0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
107.663 | -0.000 | 0.000 | -0.000 | 0.0015 |-0.0005 |0.0000 |-0.0000 |0.0000 |
112.349 | -0.000 | 0.000 | -0.000 | 0.0020 |-0.0007 |0.0000 |-0.0000 |0.0004 |
114.157 | -0.000 | 0.000 | -0.000 | 0.0024 |-0.0008 |0.0000 |-0.0000 |0.0008 |
115.884 | -0.000 | 0.000 | -0.000 | 0.0028 |-0.0010 |0.0000 |-0.0000 |0.0012 |
117.542 | -0.000 | 0.000 | -0.000 | 0.0033 |-0.0012 |0.0000 |-0.0000 |0.0016 |
119.140 | -0.000 | 0.000 | -0.000 | 0.0037 |-0.0013 |0.0000 |-0.0000 |0.0020 |
120.684 | -0.000 | 0.000 | -0.000 | 0.0041 |-0.0015 |0.0000 |-0.0000 |0.0024 |
122.178 | -0.000 | 0.000 | -0.000 | 0.0046 |-0.0016 |0.0000 |-0.0000 |0.0028 |
123.627 | -0.000 | 0.000 | -0.000 | 0.0050 |-0.0018 |0.0000 |-0.0000 |0.0032 |
125.033 | -0.000 | 0.000 | -0.001 | 0.0054 |-0.0020 |0.0000 |-0.0000 |0.0036 |
126.401 | 0.000 | 0.000 | -0.001 | 0.0058 |-0.0021 |0.0000 |-0.0000 |0.0040 |
127.732 | -0.000 | 0.000 | -0.001 | 0.0063 |-0.0023 |0.0000 |-0.0000 |0.0044 |
129.029 | -0.000 | 0.000 | -0.001 | 0.0067 |-0.0025 |0.0000 |-0.0000 |0.0048 |
130.294 | 0.000 | 0.000 | -0.001 | 0.0071 |-0.0026 |0.0000 |-0.0000 |0.0051 |
131.529 | 0.000 | 0.000 | -0.001 | 0.0075 |-0.0028 |0.0000 |-0.0000 |0.0055 |
132.735 | 0.000 | 0.000 | -0.001 | 0.0079 |-0.0029 |0.0000 |-0.0000 |0.0059 |
133.915 | 0.000 | 0.000 | -0.001 | 0.0084 |-0.0031 |0.0000 |-0.0000 |0.0063 |
135.069 | 0.000 | 0.000 | -0.001 | 0.0088 |-0.0032 |0.0000 |-0.0000 |0.0067 |
136.199 | 0.000 | 0.000 | -0.001 | 0.0092 |-0.0034 |0.0000 |-0.0000 |0.0071 |
137.306 | 0.000 | 0.000 | -0.001 | 0.0096 |-0.0036 |0.0000 |-0.0000 |0.0075 |
138.392 | 0.000 | 0.000 | -0.001 | 0.0100 |-0.0037 |0.0000 |-0.0000 |0.0079 |
139.456 | 0.000 | 0.000 | -0.001 | 0.0105 |-0.0039 |0.0000 |-0.0000 |0.0083 |
140.501 | 0.000 | 0.000 | -0.002 | 0.0109 |-0.0040 |0.0000 |-0.0000 |0.0087 |
141.526 | 0.000 | 0.000 | -0.002 | 0.0113 |-0.0042 |0.0000 |-0.0000 |0.0091 |
142.534 | 0.000 | 0.000 | -0.002 | 0.0117 |-0.0044 |0.0000 |-0.0000 |0.0095 |
143.524 | 0.000 | 0.000 | -0.002 | 0.0121 |-0.0045 |0.0000 |-0.0000 |0.0099 |
144.497 | 0.000 | 0.000 | -0.002 | 0.0125 |-0.0047 |0.0000 |-0.0000 |0.0103 |
145.454 | 0.000 | 0.000 | -0.002 | 0.0130 |-0.0048 |0.0000 |-0.0000 |0.0107 |
146.396 | 0.000 | 0.000 | -0.002 | 0.0134 |-0.0050 |0.0000 |-0.0000 |0.0111 |
147.323 | 0.000 | 0.000 | -0.002 | 0.0138 |-0.0051 |0.0000 |-0.0000 |0.0115 |
148.236 | 0.000 | 0.000 | -0.002 | 0.0142 |-0.0053 |0.0000 |-0.0000 |0.0119 |
149.134 | 0.000 | 0.000 | -0.002 | 0.0146 |-0.0055 |0.0000 |-0.0000 |0.0122 |
150.020 | 0.000 | 0.000 | -0.002 | 0.0150 |-0.0056 |0.0000 |-0.0000 |0.0126 |
150.892 | 0.000 | 0.000 | -0.002 | 0.0154 |-0.0058 |0.0000 |-0.0000 |0.0130 |
151.753 | 0.000 | 0.000 | -0.003 | 0.0158 |-0.0059 |0.0000 |-0.0000 |0.0134 |
152.601 | 0.000 | 0.000 | -0.003 | 0.0163 |-0.0061 |0.0000 |-0.0000 |0.0138 |
153.438 | 0.000 | 0.000 | -0.003 | 0.0167 |-0.0062 |0.0000 |-0.0000 |0.0142 |
154.263 | 0.000 | 0.000 | -0.003 | 0.0171 |-0.0064 |0.0000 |-0.0000 |0.0146 |
155.078 | 0.000 | 0.000 | -0.003 | 0.0175 |-0.0066 |0.0000 |-0.0000 |0.0150 |
155.882 | 0.000 | 0.000 | -0.003 | 0.0179 |-0.0067 |0.0000 |-0.0000 |0.0154 |
156.676 | 0.000 | 0.000 | -0.003 | 0.0183 |-0.0069 |0.0000 |-0.0000 |0.0158 |
157.460 | 0.000 | 0.000 | -0.003 | 0.0187 |-0.0070 |0.0000 |-0.0000 |0.0162 |
158.234 | 0.000 | 0.000 | -0.003 | 0.0191 |-0.0072 |0.0000 |-0.0000 |0.0166 |
158.999 | 0.000 | 0.000 | -0.003 | 0.0196 |-0.0073 |0.0000 |-0.0000 |0.0170 |
159.755 | 0.000 | 0.000 | -0.003 | 0.0200 |-0.0075 |0.0000 |-0.0000 |0.0174 |
160.502 | 0.000 | 0.000 | -0.004 | 0.0204 |-0.0076 |0.0000 |-0.0000 |0.0178 |
161.240 | 0.000 | 0.000 | -0.004 | 0.0208 |-0.0078 |0.0000 |-0.0000 |0.0181 |
161.970 | 0.000 | 0.000 | -0.004 | 0.0212 |-0.0080 |0.0000 |-0.0000 |0.0185 |
162.692 | 0.000 | 0.000 | -0.004 | 0.0216 |-0.0081 |0.0000 |-0.0000 |0.0189 |
163.406 | 0.000 | 0.000 | -0.004 | 0.0220 |-0.0083 |0.0000 |-0.0000 |0.0193 |
164.112 | 0.000 | 0.000 | -0.004 | 0.0224 |-0.0084 |0.0000 |-0.0000 |0.0197 |
164.811 | 0.000 | 0.000 | -0.004 | 0.0228 |-0.0086 |0.0000 |-0.0001 |0.0201 |
165.502 | 0.000 | 0.000 | -0.004 | 0.0232 |-0.0087 |0.0000 |-0.0001 |0.0205 |
166.187 | 0.000 | 0.000 | -0.004 | 0.0237 |-0.0089 |0.0000 |-0.0001 |0.0209 |
166.864 | 0.000 | 0.000 | -0.004 | 0.0241 |-0.0090 |0.0000 |-0.0001 |0.0213 |
167.535 | 0.000 | 0.000 | -0.005 | 0.0245 |-0.0092 |0.0000 |-0.0001 |0.0217 |
168.198 | 0.000 | 0.000 | -0.005 | 0.0249 |-0.0094 |0.0000 |-0.0001 |0.0221 |
168.855 | 0.000 | 0.000 | -0.005 | 0.0253 |-0.0095 |0.0000 |-0.0001 |0.0225 |
169.506 | 0.000 | 0.000 | -0.005 | 0.0257 |-0.0097 |0.0000 |-0.0001 |0.0228 |
170.151 | 0.000 | 0.000 | -0.005 | 0.0261 |-0.0098 |0.0000 |-0.0001 |0.0232 |
170.789 | 0.000 | 0.000 | -0.005 | 0.0265 |-0.0100 |0.0000 |-0.0001 |0.0236 |
171.422 | 0.000 | 0.000 | -0.005 | 0.0269 |-0.0101 |0.0000 |-0.0001 |0.0240 |
172.048 | 0.000 | 0.000 | -0.005 | 0.0273 |-0.0103 |0.0000 |-0.0001 |0.0244 |
172.669 | 0.000 | 0.000 | -0.005 | 0.0277 |-0.0104 |0.0000 |-0.0001 |0.0248 |
173.285 | 0.000 | 0.000 | -0.005 | 0.0281 |-0.0106 |0.0000 |-0.0001 |0.0252 |
173.895 | 0.000 | 0.000 | -0.006 | 0.0285 |-0.0107 |0.0000 |-0.0001 |0.0256 |
174.500 | 0.000 | 0.000 | -0.006 | 0.0290 |-0.0109 |0.0000 |-0.0001 |0.0260 |
175.099 | 0.000 | 0.000 | -0.006 | 0.0294 |-0.0111 |0.0000 |-0.0001 |0.0264 |
175.694 | 0.000 | 0.000 | -0.006 | 0.0298 |-0.0112 |0.0000 |-0.0001 |0.0268 |
176.283 | 0.000 | 0.000 | -0.006 | 0.0302 |-0.0114 |0.0000 |-0.0001 |0.0271 |
176.868 | 0.000 | 0.000 | -0.006 | 0.0306 |-0.0115 |0.0000 |-0.0001 |0.0275 |
177.447 | 0.000 | 0.000 | -0.006 | 0.0310 |-0.0117 |0.0000 |-0.0001 |0.0279 |
178.022 | 0.000 | 0.000 | -0.006 | 0.0314 |-0.0118 |0.0000 |-0.0001 |0.0283 |
178.592 | 0.000 | 0.000 | -0.006 | 0.0318 |-0.0120 |0.0000 |-0.0001 |0.0287 |
179.157 | 0.000 | 0.000 | -0.007 | 0.0322 |-0.0121 |0.0000 |-0.0001 |0.0291 |
179.719 | 0.000 | 0.000 | -0.007 | 0.0326 |-0.0123 |0.0000 |-0.0001 |0.0295 |
180.275 | 0.000 | 0.000 | -0.007 | 0.0330 |-0.0124 |0.0000 |-0.0001 |0.0299 |
180.828 | 0.000 | 0.000 | -0.007 | 0.0334 |-0.0126 |0.0000 |-0.0001 |0.0303 |
181.376 | 0.000 | 0.000 | -0.007 | 0.0338 |-0.0127 |0.0000 |-0.0001 |0.0307 |
181.920 | 0.000 | 0.000 | -0.007 | 0.0342 |-0.0129 |0.0000 |-0.0001 |0.0310 |
182.460 | 0.000 | 0.000 | -0.007 | 0.0346 |-0.0131 |0.0000 |-0.0001 |0.0314 |
182.996 | 0.000 | 0.000 | -0.007 | 0.0350 |-0.0132 |0.0000 |-0.0001 |0.0318 |
183.528 | 0.000 | 0.000 | -0.007 | 0.0354 |-0.0134 |0.0000 |-0.0001 |0.0322 |
184.056 | 0.000 | 0.000 | -0.008 | 0.0358 |-0.0135 |0.0000 |-0.0001 |0.0326 |
184.580 | 0.000 | 0.000 | -0.008 | 0.0362 |-0.0137 |0.0000 |-0.0001 |0.0330 |
185.101 | 0.000 | 0.000 | -0.008 | 0.0366 |-0.0138 |0.0000 |-0.0001 |0.0334 |
185.617 | 0.000 | 0.000 | -0.008 | 0.0371 |-0.0140 |0.0000 |-0.0001 |0.0338 |
186.131 | 0.000 | 0.000 | -0.008 | 0.0375 |-0.0141 |0.0000 |-0.0001 |0.0342 |
186.640 | 0.000 | 0.000 | -0.008 | 0.0379 |-0.0143 |0.0000 |-0.0001 |0.0345 |
187.146 | 0.000 | 0.000 | -0.008 | 0.0383 |-0.0144 |0.0000 |-0.0001 |0.0349 |
187.649 | 0.000 | 0.000 | -0.008 | 0.0387 |-0.0146 |0.0000 |-0.0001 |0.0353 |
188.148 | 0.000 | 0.000 | -0.008 | 0.0391 |-0.0147 |0.0000 |-0.0001 |0.0357 |
188.644 | 0.000 | 0.000 | -0.009 | 0.0395 |-0.0149 |0.0000 |-0.0001 |0.0361 |
189.137 | 0.000 | 0.000 | -0.009 | 0.0399 |-0.0150 |0.0000 |-0.0001 |0.0365 |
189.626 | 0.000 | 0.000 | -0.009 | 0.0403 |-0.0152 |0.0000 |-0.0001 |0.0369 |
190.112 | 0.000 | 0.000 | -0.009 | 0.0407 |-0.0154 |0.0000 |-0.0001 |0.0373 |
190.595 | 0.000 | 0.000 | -0.009 | 0.0411 |-0.0155 |0.0000 |-0.0001 |0.0376 |
191.075 | 0.000 | 0.000 | -0.009 | 0.0415 |-0.0157 |0.0000 |-0.0001 |0.0380 |
191.552 | 0.000 | 0.000 | -0.009 | 0.0419 |-0.0158 |0.0000 |-0.0001 |0.0384 |
192.025 | 0.000 | 0.000 | -0.009 | 0.0423 |-0.0160 |0.0000 |-0.0001 |0.0388 |
192.496 | 0.000 | 0.000 | -0.010 | 0.0427 |-0.0161 |0.0000 |-0.0001 |0.0392 |
192.964 | 0.000 | 0.000 | -0.010 | 0.0431 |-0.0163 |0.0000 |-0.0001 |0.0396 |
193.429 | 0.000 | 0.000 | -0.010 | 0.0435 |-0.0164 |0.0000 |-0.0001 |0.0400 |
193.892 | 0.000 | 0.000 | -0.010 | 0.0439 |-0.0166 |0.0000 |-0.0001 |0.0404 |
194.351 | 0.000 | 0.000 | -0.010 | 0.0443 |-0.0167 |0.0000 |-0.0001 |0.0407 |
