Test angle: 60
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | 0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | 0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | -0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
101.756 | -0.000 | 0.000 | -0.000 | 0.0016 |-0.0005 |0.0000 |-0.0000 |0.0001 |
102.160 | 0.000 | 0.000 | -0.000 | 0.0017 |-0.0005 |0.0000 |-0.0000 |0.0002 |
102.559 | -0.000 | 0.000 | -0.000 | 0.0018 |-0.0006 |0.0000 |-0.0000 |0.0003 |
102.953 | 0.000 | 0.000 | -0.000 | 0.0019 |-0.0006 |0.0000 |-0.0000 |0.0004 |
103.534 | -0.000 | 0.000 | -0.000 | 0.0021 |-0.0006 |0.0000 |-0.0000 |0.0005 |
104.389 | -0.000 | 0.000 | -0.000 | 0.0023 |-0.0007 |0.0000 |-0.0000 |0.0007 |
105.634 | 0.000 | 0.000 | -0.001 | 0.0027 |-0.0008 |0.0000 |-0.0000 |0.0010 |
107.059 | 0.000 | 0.000 | -0.001 | 0.0031 |-0.0009 |0.0000 |-0.0000 |0.0014 |
108.435 | -0.000 | 0.000 | -0.001 | 0.0035 |-0.0010 |0.0000 |-0.0000 |0.0018 |
109.766 | 0.000 | 0.000 | -0.001 | 0.0040 |-0.0011 |0.0000 |-0.0000 |0.0022 |
111.056 | 0.000 | 0.000 | -0.002 | 0.0044 |-0.0012 |0.0000 |-0.0000 |0.0025 |
112.309 | 0.000 | 0.000 | -0.002 | 0.0048 |-0.0013 |0.0000 |-0.0000 |0.0029 |
113.527 | -0.000 | 0.000 | -0.002 | 0.0053 |-0.0014 |0.0000 |-0.0000 |0.0033 |
114.712 | 0.000 | 0.000 | -0.002 | 0.0057 |-0.0015 |0.0000 |-0.0000 |0.0036 |
115.867 | 0.000 | 0.000 | -0.003 | 0.0061 |-0.0016 |0.0000 |-0.0000 |0.0040 |
116.993 | -0.000 | 0.000 | -0.003 | 0.0065 |-0.0017 |0.0000 |-0.0001 |0.0044 |
118.093 | 0.000 | 0.000 | -0.003 | 0.0070 |-0.0018 |0.0000 |-0.0001 |0.0047 |
119.167 | -0.000 | 0.000 | -0.004 | 0.0074 |-0.0019 |0.0000 |-0.0001 |0.0051 |
120.218 | -0.000 | 0.000 | -0.004 | 0.0078 |-0.0020 |0.0000 |-0.0001 |0.0055 |
121.246 | 0.000 | 0.000 | -0.004 | 0.0082 |-0.0021 |0.0000 |-0.0001 |0.0058 |
122.253 | -0.000 | 0.000 | -0.004 | 0.0086 |-0.0022 |0.0000 |-0.0001 |0.0062 |
123.239 | 0.000 | 0.000 | -0.005 | 0.0091 |-0.0023 |0.0000 |-0.0001 |0.0066 |
124.206 | -0.000 | 0.000 | -0.005 | 0.0095 |-0.0024 |0.0000 |-0.0001 |0.0069 |
125.154 | 0.000 | 0.000 | -0.005 | 0.0099 |-0.0025 |0.0000 |-0.0001 |0.0073 |
126.085 | 0.000 | 0.000 | -0.006 | 0.0103 |-0.0026 |0.0000 |-0.0001 |0.0077 |
126.998 | -0.000 | 0.000 | -0.006 | 0.0107 |-0.0026 |0.0000 |-0.0001 |0.0080 |
127.896 | 0.000 | 0.000 | -0.006 | 0.0112 |-0.0027 |0.0000 |-0.0001 |0.0084 |
128.778 | -0.000 | 0.000 | -0.007 | 0.0116 |-0.0028 |0.0000 |-0.0001 |0.0088 |
129.645 | 0.000 | 0.000 | -0.007 | 0.0120 |-0.0029 |0.0000 |-0.0001 |0.0091 |
130.498 | 0.000 | 0.000 | -0.007 | 0.0124 |-0.0030 |0.0000 |-0.0001 |0.0095 |
131.338 | 0.000 | 0.000 | -0.008 | 0.0128 |-0.0031 |0.0000 |-0.0001 |0.0099 |
132.164 | 0.000 | 0.000 | -0.008 | 0.0133 |-0.0032 |0.0000 |-0.0001 |0.0102 |
132.977 | 0.000 | 0.000 | -0.008 | 0.0137 |-0.0033 |0.0000 |-0.0001 |0.0106 |
133.778 | -0.000 | 0.000 | -0.009 | 0.0141 |-0.0034 |0.0000 |-0.0001 |0.0109 |
134.567 | -0.000 | 0.000 | -0.009 | 0.0145 |-0.0035 |0.0000 |-0.0001 |0.0113 |
135.345 | 0.000 | 0.000 | -0.009 | 0.0149 |-0.0036 |0.0000 |-0.0001 |0.0117 |
136.112 | 0.000 | 0.000 | -0.010 | 0.0153 |-0.0037 |0.0000 |-0.0001 |0.0120 |
136.868 | 0.000 | 0.000 | -0.010 | 0.0158 |-0.0038 |0.0000 |-0.0001 |0.0124 |
137.614 | -0.000 | 0.000 | -0.010 | 0.0162 |-0.0039 |0.0000 |-0.0002 |0.0128 |
138.350 | 0.000 | 0.000 | -0.011 | 0.0166 |-0.0040 |0.0000 |-0.0002 |0.0131 |
139.076 | 0.000 | 0.000 | -0.011 | 0.0170 |-0.0041 |0.0000 |-0.0002 |0.0135 |
139.792 | 0.000 | 0.000 | -0.011 | 0.0174 |-0.0042 |0.0000 |-0.0002 |0.0139 |
140.500 | 0.000 | 0.000 | -0.012 | 0.0178 |-0.0043 |0.0000 |-0.0002 |0.0142 |
141.199 | 0.000 | 0.000 | -0.012 | 0.0182 |-0.0044 |0.0000 |-0.0002 |0.0146 |
141.890 | 0.000 | 0.000 | -0.012 | 0.0187 |-0.0045 |0.0000 |-0.0002 |0.0149 |
142.572 | 0.000 | 0.000 | -0.013 | 0.0191 |-0.0046 |0.0000 |-0.0002 |0.0153 |
143.245 | 0.000 | 0.000 | -0.013 | 0.0195 |-0.0047 |0.0000 |-0.0002 |0.0157 |
143.911 | 0.000 | 0.000 | -0.014 | 0.0199 |-0.0048 |0.0000 |-0.0002 |0.0160 |
144.570 | 0.000 | 0.000 | -0.014 | 0.0203 |-0.0049 |0.0000 |-0.0002 |0.0164 |
145.221 | 0.000 | 0.000 | -0.014 | 0.0207 |-0.0050 |0.0000 |-0.0002 |0.0168 |
145.865 | -0.000 | 0.000 | -0.015 | 0.0211 |-0.0051 |0.0000 |-0.0002 |0.0171 |
146.501 | 0.000 | 0.000 | -0.015 | 0.0215 |-0.0052 |0.0000 |-0.0002 |0.0175 |
147.131 | -0.000 | 0.000 | -0.015 | 0.0220 |-0.0053 |0.0000 |-0.0002 |0.0178 |
147.754 | 0.000 | 0.000 | -0.016 | 0.0224 |-0.0053 |0.0000 |-0.0002 |0.0182 |
148.371 | 0.000 | 0.000 | -0.016 | 0.0228 |-0.0054 |0.0000 |-0.0002 |0.0186 |
148.981 | 0.000 | 0.000 | -0.017 | 0.0232 |-0.0055 |0.0000 |-0.0002 |0.0189 |
149.585 | 0.000 | 0.000 | -0.017 | 0.0236 |-0.0056 |0.0000 |-0.0002 |0.0193 |
150.183 | 0.000 | 0.000 | -0.017 | 0.0240 |-0.0057 |0.0000 |-0.0002 |0.0197 |
150.775 | -0.000 | 0.000 | -0.018 | 0.0244 |-0.0058 |0.0000 |-0.0002 |0.0200 |
151.361 | 0.000 | 0.000 | -0.018 | 0.0248 |-0.0059 |0.0000 |-0.0002 |0.0204 |
151.941 | 0.000 | 0.000 | -0.019 | 0.0252 |-0.0060 |0.0000 |-0.0002 |0.0207 |
152.516 | 0.000 | 0.000 | -0.019 | 0.0257 |-0.0061 |0.0000 |-0.0003 |0.0211 |
153.086 | 0.000 | 0.000 | -0.019 | 0.0261 |-0.0062 |0.0000 |-0.0003 |0.0215 |
153.650 | 0.000 | 0.000 | -0.020 | 0.0265 |-0.0063 |0.0000 |-0.0003 |0.0218 |
154.209 | 0.000 | 0.000 | -0.020 | 0.0269 |-0.0064 |0.0000 |-0.0003 |0.0222 |
154.763 | 0.000 | 0.000 | -0.021 | 0.0273 |-0.0065 |0.0000 |-0.0003 |0.0226 |
155.312 | 0.000 | 0.000 | -0.021 | 0.0277 |-0.0066 |0.0000 |-0.0003 |0.0229 |
155.857 | 0.000 | 0.000 | -0.021 | 0.0281 |-0.0067 |0.0000 |-0.0003 |0.0233 |
156.396 | -0.000 | 0.000 | -0.022 | 0.0285 |-0.0068 |0.0000 |-0.0003 |0.0236 |
156.931 | 0.000 | 0.000 | -0.022 | 0.0289 |-0.0069 |0.0000 |-0.0003 |0.0240 |
157.461 | 0.000 | 0.000 | -0.023 | 0.0293 |-0.0070 |0.0000 |-0.0003 |0.0244 |
157.987 | 0.000 | 0.000 | -0.023 | 0.0298 |-0.0071 |0.0000 |-0.0003 |0.0247 |
158.508 | 0.000 | 0.000 | -0.023 | 0.0302 |-0.0072 |0.0000 |-0.0003 |0.0251 |
159.025 | 0.000 | 0.000 | -0.024 | 0.0306 |-0.0073 |0.0000 |-0.0003 |0.0254 |
159.538 | 0.000 | 0.000 | -0.024 | 0.0310 |-0.0073 |0.0000 |-0.0003 |0.0258 |
160.046 | 0.000 | 0.000 | -0.025 | 0.0314 |-0.0074 |0.0000 |-0.0003 |0.0262 |
160.551 | 0.000 | 0.000 | -0.025 | 0.0318 |-0.0075 |0.0000 |-0.0003 |0.0265 |
161.051 | 0.000 | 0.000 | -0.025 | 0.0322 |-0.0076 |0.0000 |-0.0003 |0.0269 |
161.548 | 0.000 | 0.000 | -0.026 | 0.0326 |-0.0077 |0.0000 |-0.0003 |0.0272 |
162.041 | 0.000 | 0.000 | -0.026 | 0.0330 |-0.0078 |0.0000 |-0.0003 |0.0276 |
162.530 | 0.000 | 0.000 | -0.027 | 0.0334 |-0.0079 |0.0000 |-0.0003 |0.0280 |
163.015 | 0.000 | 0.000 | -0.027 | 0.0338 |-0.0080 |0.0000 |-0.0003 |0.0283 |
163.497 | 0.000 | 0.000 | -0.028 | 0.0342 |-0.0081 |0.0000 |-0.0003 |0.0287 |
163.975 | 0.000 | 0.000 | -0.028 | 0.0347 |-0.0082 |0.0000 |-0.0003 |0.0290 |
164.450 | -0.000 | 0.000 | -0.028 | 0.0351 |-0.0083 |0.0000 |-0.0004 |0.0294 |
164.921 | 0.000 | 0.000 | -0.029 | 0.0355 |-0.0084 |0.0000 |-0.0004 |0.0298 |
165.389 | 0.000 | 0.000 | -0.029 | 0.0359 |-0.0085 |0.0000 |-0.0004 |0.0301 |
165.854 | 0.000 | 0.000 | -0.030 | 0.0363 |-0.0086 |0.0000 |-0.0004 |0.0305 |
166.315 | 0.000 | 0.000 | -0.030 | 0.0367 |-0.0087 |0.0000 |-0.0004 |0.0308 |
166.773 | 0.000 | 0.000 | -0.031 | 0.0371 |-0.0088 |0.0000 |-0.0004 |0.0312 |
167.227 | 0.000 | 0.000 | -0.031 | 0.0375 |-0.0089 |0.0000 |-0.0004 |0.0316 |
167.679 | 0.000 | 0.000 | -0.031 | 0.0379 |-0.0089 |0.0000 |-0.0004 |0.0319 |
168.127 | 0.000 | 0.000 | -0.032 | 0.0383 |-0.0090 |0.0000 |-0.0004 |0.0323 |
168.573 | 0.000 | 0.000 | -0.032 | 0.0387 |-0.0091 |0.0000 |-0.0004 |0.0326 |
169.015 | 0.000 | 0.000 | -0.033 | 0.0391 |-0.0092 |0.0000 |-0.0004 |0.0330 |
169.455 | 0.000 | 0.000 | -0.033 | 0.0395 |-0.0093 |0.0000 |-0.0004 |0.0334 |
169.891 | 0.000 | 0.000 | -0.034 | 0.0399 |-0.0094 |0.0000 |-0.0004 |0.0337 |
170.325 | 0.000 | 0.000 | -0.034 | 0.0403 |-0.0095 |0.0000 |-0.0004 |0.0341 |
170.756 | 0.000 | 0.000 | -0.034 | 0.0407 |-0.0096 |0.0000 |-0.0004 |0.0344 |
171.184 | 0.000 | 0.000 | -0.035 | 0.0411 |-0.0097 |0.0000 |-0.0004 |0.0348 |
171.610 | 0.000 | 0.000 | -0.035 | 0.0415 |-0.0098 |0.0000 |-0.0004 |0.0351 |
172.033 | 0.000 | 0.000 | -0.036 | 0.0420 |-0.0099 |0.0000 |-0.0004 |0.0355 |
172.453 | 0.000 | 0.000 | -0.036 | 0.0424 |-0.0100 |0.0000 |-0.0004 |0.0359 |
172.871 | 0.000 | 0.000 | -0.037 | 0.0428 |-0.0101 |0.0000 |-0.0004 |0.0362 |
173.286 | 0.000 | 0.000 | -0.037 | 0.0432 |-0.0102 |0.0000 |-0.0004 |0.0366 |
