Test angle: 30
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | 0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | 0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | 0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | -0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | 0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
103.318 | 0.000 | 0.000 | -0.000 | 0.0016 |-0.0005 |0.0000 |-0.0000 |0.0001 |
103.736 | -0.000 | 0.000 | -0.001 | 0.0017 |-0.0005 |0.0000 |-0.0000 |0.0002 |
104.148 | -0.000 | 0.000 | -0.001 | 0.0018 |-0.0006 |0.0000 |-0.0000 |0.0003 |
104.757 | 0.000 | 0.000 | -0.001 | 0.0019 |-0.0006 |0.0000 |-0.0000 |0.0004 |
105.649 | 0.000 | 0.000 | -0.002 | 0.0022 |-0.0007 |0.0000 |-0.0000 |0.0006 |
106.948 | -0.000 | 0.000 | -0.003 | 0.0026 |-0.0007 |0.0000 |-0.0001 |0.0009 |
108.432 | -0.000 | 0.000 | -0.005 | 0.0030 |-0.0008 |0.0000 |-0.0001 |0.0013 |
109.863 | 0.000 | 0.000 | -0.006 | 0.0034 |-0.0010 |0.0000 |-0.0001 |0.0017 |
111.246 | -0.000 | 0.000 | -0.008 | 0.0039 |-0.0011 |0.0000 |-0.0001 |0.0021 |
112.586 | 0.000 | 0.000 | -0.009 | 0.0043 |-0.0012 |0.0000 |-0.0002 |0.0024 |
113.886 | 0.000 | 0.000 | -0.011 | 0.0047 |-0.0013 |0.0000 |-0.0002 |0.0028 |
115.149 | 0.000 | 0.000 | -0.012 | 0.0051 |-0.0014 |0.0000 |-0.0002 |0.0032 |
116.377 | 0.000 | 0.000 | -0.014 | 0.0056 |-0.0015 |0.0000 |-0.0002 |0.0036 |
117.573 | 0.000 | 0.000 | -0.016 | 0.0060 |-0.0016 |0.0000 |-0.0003 |0.0039 |
118.740 | 0.000 | 0.000 | -0.017 | 0.0064 |-0.0017 |0.0000 |-0.0003 |0.0043 |
119.878 | 0.000 | 0.000 | -0.019 | 0.0068 |-0.0018 |0.0000 |-0.0003 |0.0047 |
120.989 | 0.000 | 0.000 | -0.021 | 0.0073 |-0.0019 |0.0000 |-0.0003 |0.0051 |
122.076 | 0.000 | 0.000 | -0.022 | 0.0077 |-0.0020 |0.0000 |-0.0004 |0.0054 |
123.138 | 0.000 | 0.000 | -0.024 | 0.0081 |-0.0021 |0.0000 |-0.0004 |0.0058 |
124.178 | 0.000 | 0.000 | -0.026 | 0.0085 |-0.0022 |0.0000 |-0.0004 |0.0062 |
125.197 | 0.000 | 0.000 | -0.028 | 0.0089 |-0.0023 |0.0000 |-0.0004 |0.0065 |
126.195 | 0.000 | 0.000 | -0.030 | 0.0094 |-0.0024 |0.0000 |-0.0005 |0.0069 |
127.174 | 0.000 | 0.000 | -0.031 | 0.0098 |-0.0025 |0.0000 |-0.0005 |0.0073 |
128.135 | 0.000 | 0.000 | -0.033 | 0.0102 |-0.0026 |0.0000 |-0.0005 |0.0077 |
129.077 | 0.000 | 0.000 | -0.035 | 0.0106 |-0.0027 |0.0000 |-0.0005 |0.0080 |
130.003 | 0.000 | 0.000 | -0.037 | 0.0110 |-0.0028 |0.0000 |-0.0006 |0.0084 |
130.913 | 0.000 | 0.000 | -0.039 | 0.0115 |-0.0029 |0.0000 |-0.0006 |0.0088 |
131.807 | 0.000 | 0.000 | -0.041 | 0.0119 |-0.0030 |0.0000 |-0.0006 |0.0091 |
132.686 | 0.000 | 0.000 | -0.043 | 0.0123 |-0.0031 |0.0000 |-0.0007 |0.0095 |
133.551 | 0.000 | 0.000 | -0.045 | 0.0127 |-0.0032 |0.0000 |-0.0007 |0.0099 |
134.402 | 0.000 | 0.000 | -0.047 | 0.0131 |-0.0033 |0.0000 |-0.0007 |0.0102 |
135.240 | 0.000 | 0.000 | -0.049 | 0.0136 |-0.0034 |0.0000 |-0.0007 |0.0106 |
136.065 | 0.000 | 0.000 | -0.051 | 0.0140 |-0.0035 |0.0000 |-0.0008 |0.0110 |
136.878 | 0.000 | 0.000 | -0.053 | 0.0144 |-0.0036 |0.0000 |-0.0008 |0.0114 |
137.679 | 0.000 | 0.000 | -0.055 | 0.0148 |-0.0037 |0.0000 |-0.0008 |0.0117 |
138.468 | 0.000 | 0.000 | -0.057 | 0.0152 |-0.0037 |0.0000 |-0.0008 |0.0121 |
139.246 | 0.000 | 0.000 | -0.059 | 0.0156 |-0.0038 |0.0000 |-0.0009 |0.0125 |
140.014 | 0.000 | 0.000 | -0.061 | 0.0161 |-0.0039 |0.0000 |-0.0009 |0.0128 |
140.771 | 0.000 | 0.000 | -0.063 | 0.0165 |-0.0040 |0.0000 |-0.0009 |0.0132 |
141.518 | 0.000 | 0.000 | -0.065 | 0.0169 |-0.0041 |0.0000 |-0.0009 |0.0136 |
142.256 | 0.000 | 0.000 | -0.067 | 0.0173 |-0.0042 |0.0000 |-0.0010 |0.0139 |
142.984 | 0.000 | 0.000 | -0.069 | 0.0177 |-0.0043 |0.0000 |-0.0010 |0.0143 |
143.703 | 0.000 | 0.000 | -0.072 | 0.0181 |-0.0044 |0.0000 |-0.0010 |0.0147 |
144.412 | 0.000 | 0.000 | -0.074 | 0.0185 |-0.0045 |0.0000 |-0.0010 |0.0151 |
145.114 | 0.000 | 0.000 | -0.076 | 0.0190 |-0.0046 |0.0000 |-0.0011 |0.0154 |
145.806 | 0.000 | 0.000 | -0.078 | 0.0194 |-0.0047 |0.0000 |-0.0011 |0.0158 |
146.491 | 0.000 | 0.000 | -0.080 | 0.0198 |-0.0048 |0.0000 |-0.0011 |0.0162 |
147.168 | 0.000 | 0.000 | -0.082 | 0.0202 |-0.0049 |0.0000 |-0.0011 |0.0165 |
147.837 | 0.000 | 0.000 | -0.085 | 0.0206 |-0.0050 |0.0000 |-0.0012 |0.0169 |
148.498 | 0.000 | 0.000 | -0.087 | 0.0210 |-0.0051 |0.0000 |-0.0012 |0.0173 |
149.153 | 0.000 | 0.000 | -0.089 | 0.0214 |-0.0052 |0.0000 |-0.0012 |0.0176 |
149.800 | 0.000 | 0.000 | -0.091 | 0.0218 |-0.0053 |0.0000 |-0.0012 |0.0180 |
150.440 | 0.000 | 0.000 | -0.094 | 0.0223 |-0.0054 |0.0000 |-0.0013 |0.0184 |
151.073 | 0.000 | 0.000 | -0.096 | 0.0227 |-0.0055 |0.0000 |-0.0013 |0.0187 |
151.700 | 0.000 | 0.000 | -0.098 | 0.0231 |-0.0056 |0.0000 |-0.0013 |0.0191 |
152.321 | 0.000 | 0.000 | -0.101 | 0.0235 |-0.0057 |0.0000 |-0.0013 |0.0195 |
152.935 | 0.000 | 0.000 | -0.103 | 0.0239 |-0.0058 |0.0000 |-0.0014 |0.0198 |
153.542 | 0.000 | 0.000 | -0.105 | 0.0243 |-0.0059 |0.0000 |-0.0014 |0.0202 |
154.144 | 0.000 | 0.000 | -0.107 | 0.0247 |-0.0060 |0.0000 |-0.0014 |0.0206 |
154.740 | 0.000 | 0.000 | -0.110 | 0.0251 |-0.0061 |0.0000 |-0.0014 |0.0209 |
155.331 | 0.000 | 0.000 | -0.112 | 0.0255 |-0.0062 |0.0000 |-0.0015 |0.0213 |
155.915 | 0.000 | 0.000 | -0.115 | 0.0260 |-0.0063 |0.0000 |-0.0015 |0.0217 |
156.495 | 0.000 | 0.000 | -0.117 | 0.0264 |-0.0064 |0.0000 |-0.0015 |0.0220 |
157.068 | 0.000 | 0.000 | -0.119 | 0.0268 |-0.0065 |0.0000 |-0.0015 |0.0224 |
157.637 | 0.000 | 0.000 | -0.122 | 0.0272 |-0.0066 |0.0000 |-0.0016 |0.0228 |
158.201 | 0.000 | 0.000 | -0.124 | 0.0276 |-0.0067 |0.0000 |-0.0016 |0.0231 |
158.759 | 0.000 | 0.000 | -0.126 | 0.0280 |-0.0068 |0.0000 |-0.0016 |0.0235 |
159.313 | 0.000 | 0.000 | -0.129 | 0.0284 |-0.0069 |0.0000 |-0.0016 |0.0239 |
159.862 | 0.000 | 0.000 | -0.131 | 0.0288 |-0.0070 |0.0000 |-0.0017 |0.0242 |
160.406 | 0.000 | 0.000 | -0.134 | 0.0292 |-0.0071 |0.0000 |-0.0017 |0.0246 |
160.945 | 0.000 | 0.000 | -0.136 | 0.0296 |-0.0072 |0.0000 |-0.0017 |0.0250 |
161.480 | 0.000 | 0.000 | -0.139 | 0.0300 |-0.0072 |0.0000 |-0.0017 |0.0253 |
162.010 | 0.000 | 0.000 | -0.141 | 0.0305 |-0.0073 |0.0000 |-0.0018 |0.0257 |
162.536 | 0.000 | 0.000 | -0.144 | 0.0309 |-0.0074 |0.0000 |-0.0018 |0.0261 |
163.058 | 0.000 | 0.000 | -0.146 | 0.0313 |-0.0075 |0.0000 |-0.0018 |0.0264 |
163.576 | 0.000 | 0.000 | -0.148 | 0.0317 |-0.0076 |0.0000 |-0.0019 |0.0268 |
164.089 | 0.000 | 0.000 | -0.151 | 0.0321 |-0.0077 |0.0000 |-0.0019 |0.0272 |
164.598 | 0.000 | 0.000 | -0.153 | 0.0325 |-0.0078 |0.0000 |-0.0019 |0.0275 |
165.104 | 0.000 | 0.000 | -0.156 | 0.0329 |-0.0079 |0.0000 |-0.0019 |0.0279 |
165.605 | 0.000 | 0.000 | -0.158 | 0.0333 |-0.0080 |0.0000 |-0.0020 |0.0283 |
166.103 | 0.000 | 0.000 | -0.161 | 0.0337 |-0.0081 |0.0000 |-0.0020 |0.0286 |
166.597 | 0.000 | 0.000 | -0.164 | 0.0341 |-0.0082 |0.0000 |-0.0020 |0.0290 |
167.088 | 0.000 | 0.000 | -0.166 | 0.0345 |-0.0083 |0.0000 |-0.0020 |0.0294 |
167.574 | 0.000 | 0.000 | -0.169 | 0.0349 |-0.0084 |0.0000 |-0.0021 |0.0297 |
168.057 | 0.000 | 0.000 | -0.171 | 0.0353 |-0.0085 |0.0000 |-0.0021 |0.0301 |
168.537 | 0.000 | 0.000 | -0.174 | 0.0358 |-0.0086 |0.0000 |-0.0021 |0.0305 |
169.013 | 0.000 | 0.000 | -0.176 | 0.0362 |-0.0087 |0.0000 |-0.0021 |0.0308 |
169.486 | 0.000 | 0.000 | -0.179 | 0.0366 |-0.0088 |0.0000 |-0.0022 |0.0312 |
169.955 | 0.000 | 0.000 | -0.181 | 0.0370 |-0.0089 |0.0000 |-0.0022 |0.0316 |
170.421 | 0.000 | 0.000 | -0.184 | 0.0374 |-0.0090 |0.0000 |-0.0022 |0.0319 |
170.884 | 0.000 | 0.000 | -0.187 | 0.0378 |-0.0091 |0.0000 |-0.0022 |0.0323 |
171.344 | 0.000 | 0.000 | -0.189 | 0.0382 |-0.0092 |0.0000 |-0.0023 |0.0326 |
171.801 | 0.000 | 0.000 | -0.192 | 0.0386 |-0.0093 |0.0000 |-0.0023 |0.0330 |
172.254 | 0.000 | 0.000 | -0.194 | 0.0390 |-0.0094 |0.0000 |-0.0023 |0.0334 |
172.704 | 0.000 | 0.000 | -0.197 | 0.0394 |-0.0094 |0.0000 |-0.0023 |0.0337 |
173.152 | 0.000 | 0.000 | -0.200 | 0.0398 |-0.0095 |0.0000 |-0.0024 |0.0341 |
173.596 | 0.000 | 0.000 | -0.202 | 0.0402 |-0.0096 |0.0000 |-0.0024 |0.0345 |
174.038 | 0.000 | 0.000 | -0.205 | 0.0406 |-0.0097 |0.0000 |-0.0024 |0.0348 |
174.477 | 0.000 | 0.000 | -0.208 | 0.0410 |-0.0098 |0.0000 |-0.0024 |0.0352 |
174.913 | 0.000 | 0.000 | -0.210 | 0.0414 |-0.0099 |0.0000 |-0.0025 |0.0356 |
175.346 | 0.000 | 0.000 | -0.213 | 0.0418 |-0.0100 |0.0000 |-0.0025 |0.0359 |
175.777 | 0.000 | 0.000 | -0.216 | 0.0422 |-0.0101 |0.0000 |-0.0025 |0.0363 |
176.205 | 0.000 | 0.000 | -0.218 | 0.0426 |-0.0102 |0.0000 |-0.0025 |0.0367 |
176.630 | 0.000 | 0.000 | -0.221 | 0.0430 |-0.0103 |0.0000 |-0.0026 |0.0370 |
177.053 | 0.000 | 0.000 | -0.224 | 0.0434 |-0.0104 |0.0000 |-0.0026 |0.0374 |
