Test angle: 30
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | 0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | 0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | 0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | -0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | 0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
103.313 | -0.000 | 0.000 | -0.000 | 0.0016 |-0.0005 |0.0000 |-0.0000 |0.0001 |
103.732 | 0.000 | 0.000 | -0.000 | 0.0017 |-0.0005 |0.0000 |-0.0000 |0.0002 |
104.144 | 0.000 | 0.000 | -0.001 | 0.0018 |-0.0006 |0.0000 |-0.0000 |0.0003 |
104.753 | -0.000 | 0.000 | -0.001 | 0.0019 |-0.0006 |0.0000 |-0.0000 |0.0004 |
105.645 | -0.000 | 0.000 | -0.002 | 0.0022 |-0.0007 |0.0000 |-0.0000 |0.0006 |
106.944 | 0.000 | 0.000 | -0.003 | 0.0026 |-0.0007 |0.0000 |-0.0001 |0.0009 |
108.427 | -0.000 | 0.000 | -0.004 | 0.0030 |-0.0009 |0.0000 |-0.0001 |0.0013 |
109.859 | -0.000 | 0.000 | -0.005 | 0.0034 |-0.0010 |0.0000 |-0.0001 |0.0017 |
111.242 | 0.000 | 0.000 | -0.006 | 0.0039 |-0.0011 |0.0000 |-0.0001 |0.0021 |
112.581 | 0.000 | 0.000 | -0.007 | 0.0043 |-0.0012 |0.0000 |-0.0001 |0.0024 |
113.881 | -0.000 | 0.000 | -0.009 | 0.0047 |-0.0013 |0.0000 |-0.0002 |0.0028 |
115.144 | -0.000 | 0.000 | -0.010 | 0.0051 |-0.0014 |0.0000 |-0.0002 |0.0032 |
116.372 | 0.000 | 0.000 | -0.011 | 0.0056 |-0.0015 |0.0000 |-0.0002 |0.0036 |
117.568 | 0.000 | 0.000 | -0.013 | 0.0060 |-0.0016 |0.0000 |-0.0002 |0.0039 |
118.734 | 0.000 | 0.000 | -0.014 | 0.0064 |-0.0017 |0.0000 |-0.0002 |0.0043 |
119.872 | 0.000 | 0.000 | -0.015 | 0.0068 |-0.0018 |0.0000 |-0.0003 |0.0047 |
120.983 | 0.000 | 0.000 | -0.017 | 0.0073 |-0.0019 |0.0000 |-0.0003 |0.0051 |
122.070 | 0.000 | 0.000 | -0.018 | 0.0077 |-0.0020 |0.0000 |-0.0003 |0.0054 |
123.132 | 0.000 | 0.000 | -0.020 | 0.0081 |-0.0021 |0.0000 |-0.0003 |0.0058 |
124.172 | 0.000 | 0.000 | -0.021 | 0.0085 |-0.0022 |0.0000 |-0.0003 |0.0062 |
125.191 | 0.000 | 0.000 | -0.022 | 0.0089 |-0.0023 |0.0000 |-0.0004 |0.0065 |
126.189 | 0.000 | 0.000 | -0.024 | 0.0094 |-0.0024 |0.0000 |-0.0004 |0.0069 |
127.168 | 0.000 | 0.000 | -0.025 | 0.0098 |-0.0025 |0.0000 |-0.0004 |0.0073 |
128.128 | 0.000 | 0.000 | -0.027 | 0.0102 |-0.0026 |0.0000 |-0.0004 |0.0077 |
129.071 | 0.000 | 0.000 | -0.028 | 0.0106 |-0.0027 |0.0000 |-0.0004 |0.0080 |
129.996 | 0.000 | 0.000 | -0.030 | 0.0110 |-0.0028 |0.0000 |-0.0005 |0.0084 |
130.906 | 0.000 | 0.000 | -0.032 | 0.0115 |-0.0029 |0.0000 |-0.0005 |0.0088 |
131.800 | 0.000 | 0.000 | -0.033 | 0.0119 |-0.0030 |0.0000 |-0.0005 |0.0091 |
132.679 | 0.000 | 0.000 | -0.035 | 0.0123 |-0.0031 |0.0000 |-0.0005 |0.0095 |
133.544 | 0.000 | 0.000 | -0.036 | 0.0127 |-0.0032 |0.0000 |-0.0005 |0.0099 |
134.395 | 0.000 | 0.000 | -0.038 | 0.0131 |-0.0033 |0.0000 |-0.0006 |0.0102 |
135.233 | 0.000 | 0.000 | -0.040 | 0.0136 |-0.0034 |0.0000 |-0.0006 |0.0106 |
136.058 | 0.000 | 0.000 | -0.041 | 0.0140 |-0.0035 |0.0000 |-0.0006 |0.0110 |
136.871 | 0.000 | 0.000 | -0.043 | 0.0144 |-0.0036 |0.0000 |-0.0006 |0.0114 |
137.671 | 0.000 | 0.000 | -0.044 | 0.0148 |-0.0037 |0.0000 |-0.0007 |0.0117 |
138.460 | 0.000 | 0.000 | -0.046 | 0.0152 |-0.0038 |0.0000 |-0.0007 |0.0121 |
139.239 | 0.000 | 0.000 | -0.048 | 0.0156 |-0.0039 |0.0000 |-0.0007 |0.0125 |
140.006 | 0.000 | 0.000 | -0.049 | 0.0160 |-0.0040 |0.0000 |-0.0007 |0.0128 |
140.763 | 0.000 | 0.000 | -0.051 | 0.0165 |-0.0041 |0.0000 |-0.0007 |0.0132 |
141.510 | 0.000 | 0.000 | -0.053 | 0.0169 |-0.0042 |0.0000 |-0.0008 |0.0136 |
142.248 | 0.000 | 0.000 | -0.055 | 0.0173 |-0.0043 |0.0000 |-0.0008 |0.0139 |
142.976 | 0.000 | 0.000 | -0.056 | 0.0177 |-0.0044 |0.0000 |-0.0008 |0.0143 |
143.694 | 0.000 | 0.000 | -0.058 | 0.0181 |-0.0045 |0.0000 |-0.0008 |0.0147 |
144.404 | 0.000 | 0.000 | -0.060 | 0.0185 |-0.0046 |0.0000 |-0.0008 |0.0150 |
145.105 | 0.000 | 0.000 | -0.062 | 0.0189 |-0.0047 |0.0000 |-0.0009 |0.0154 |
145.798 | 0.000 | 0.000 | -0.063 | 0.0194 |-0.0048 |0.0000 |-0.0009 |0.0158 |
146.483 | 0.000 | 0.000 | -0.065 | 0.0198 |-0.0049 |0.0000 |-0.0009 |0.0162 |
147.159 | 0.000 | 0.000 | -0.067 | 0.0202 |-0.0050 |0.0000 |-0.0009 |0.0165 |
147.828 | 0.000 | 0.000 | -0.069 | 0.0206 |-0.0051 |0.0000 |-0.0009 |0.0169 |
148.490 | 0.000 | 0.000 | -0.071 | 0.0210 |-0.0052 |0.0000 |-0.0010 |0.0173 |
149.144 | 0.000 | 0.000 | -0.072 | 0.0214 |-0.0053 |0.0000 |-0.0010 |0.0176 |
149.791 | 0.000 | 0.000 | -0.074 | 0.0218 |-0.0054 |0.0000 |-0.0010 |0.0180 |
150.431 | 0.000 | 0.000 | -0.076 | 0.0223 |-0.0055 |0.0000 |-0.0010 |0.0184 |
151.065 | 0.000 | 0.000 | -0.078 | 0.0227 |-0.0056 |0.0000 |-0.0010 |0.0187 |
151.692 | 0.000 | 0.000 | -0.080 | 0.0231 |-0.0057 |0.0000 |-0.0011 |0.0191 |
152.312 | 0.000 | 0.000 | -0.082 | 0.0235 |-0.0058 |0.0000 |-0.0011 |0.0195 |
152.926 | 0.000 | 0.000 | -0.084 | 0.0239 |-0.0059 |0.0000 |-0.0011 |0.0198 |
153.534 | 0.000 | 0.000 | -0.085 | 0.0243 |-0.0060 |0.0000 |-0.0011 |0.0202 |
154.135 | 0.000 | 0.000 | -0.087 | 0.0247 |-0.0061 |0.0000 |-0.0012 |0.0206 |
154.731 | 0.000 | 0.000 | -0.089 | 0.0251 |-0.0062 |0.0000 |-0.0012 |0.0209 |
155.322 | 0.000 | 0.000 | -0.091 | 0.0255 |-0.0063 |0.0000 |-0.0012 |0.0213 |
155.906 | 0.000 | 0.000 | -0.093 | 0.0259 |-0.0064 |0.0000 |-0.0012 |0.0217 |
156.486 | 0.000 | 0.000 | -0.095 | 0.0264 |-0.0065 |0.0000 |-0.0012 |0.0220 |
157.059 | 0.000 | 0.000 | -0.097 | 0.0268 |-0.0066 |0.0000 |-0.0013 |0.0224 |
157.628 | 0.000 | 0.000 | -0.099 | 0.0272 |-0.0067 |0.0000 |-0.0013 |0.0228 |
158.192 | 0.000 | 0.000 | -0.101 | 0.0276 |-0.0068 |0.0000 |-0.0013 |0.0231 |
158.750 | 0.000 | 0.000 | -0.103 | 0.0280 |-0.0069 |0.0000 |-0.0013 |0.0235 |
159.304 | 0.000 | 0.000 | -0.105 | 0.0284 |-0.0070 |0.0000 |-0.0013 |0.0239 |
159.853 | 0.000 | 0.000 | -0.107 | 0.0288 |-0.0070 |0.0000 |-0.0014 |0.0242 |
160.397 | 0.000 | 0.000 | -0.109 | 0.0292 |-0.0071 |0.0000 |-0.0014 |0.0246 |
160.936 | 0.000 | 0.000 | -0.111 | 0.0296 |-0.0072 |0.0000 |-0.0014 |0.0250 |
161.471 | 0.000 | 0.000 | -0.113 | 0.0300 |-0.0073 |0.0000 |-0.0014 |0.0253 |
162.001 | 0.000 | 0.000 | -0.115 | 0.0305 |-0.0074 |0.0000 |-0.0014 |0.0257 |
162.527 | 0.000 | 0.000 | -0.117 | 0.0309 |-0.0075 |0.0000 |-0.0015 |0.0261 |
163.049 | 0.000 | 0.000 | -0.119 | 0.0313 |-0.0076 |0.0000 |-0.0015 |0.0264 |
163.566 | 0.000 | 0.000 | -0.121 | 0.0317 |-0.0077 |0.0000 |-0.0015 |0.0268 |
164.080 | 0.000 | 0.000 | -0.123 | 0.0321 |-0.0078 |0.0000 |-0.0015 |0.0272 |
164.589 | 0.000 | 0.000 | -0.125 | 0.0325 |-0.0079 |0.0000 |-0.0015 |0.0275 |
165.095 | 0.000 | 0.000 | -0.127 | 0.0329 |-0.0080 |0.0000 |-0.0016 |0.0279 |
165.596 | 0.000 | 0.000 | -0.129 | 0.0333 |-0.0081 |0.0000 |-0.0016 |0.0283 |
166.094 | 0.000 | 0.000 | -0.131 | 0.0337 |-0.0082 |0.0000 |-0.0016 |0.0286 |
166.588 | 0.000 | 0.000 | -0.133 | 0.0341 |-0.0083 |0.0000 |-0.0016 |0.0290 |
167.078 | 0.000 | 0.000 | -0.135 | 0.0345 |-0.0084 |0.0000 |-0.0017 |0.0294 |
167.565 | 0.000 | 0.000 | -0.137 | 0.0349 |-0.0085 |0.0000 |-0.0017 |0.0297 |
168.048 | 0.000 | 0.000 | -0.139 | 0.0353 |-0.0086 |0.0000 |-0.0017 |0.0301 |
168.528 | 0.000 | 0.000 | -0.141 | 0.0357 |-0.0087 |0.0000 |-0.0017 |0.0305 |
169.004 | 0.000 | 0.000 | -0.143 | 0.0362 |-0.0088 |0.0000 |-0.0017 |0.0308 |
169.477 | 0.000 | 0.000 | -0.145 | 0.0366 |-0.0089 |0.0000 |-0.0018 |0.0312 |
169.946 | 0.000 | 0.000 | -0.147 | 0.0370 |-0.0090 |0.0000 |-0.0018 |0.0316 |
170.412 | 0.000 | 0.000 | -0.150 | 0.0374 |-0.0091 |0.0000 |-0.0018 |0.0319 |
170.875 | 0.000 | 0.000 | -0.152 | 0.0378 |-0.0092 |0.0000 |-0.0018 |0.0323 |
171.335 | 0.000 | 0.000 | -0.154 | 0.0382 |-0.0093 |0.0000 |-0.0018 |0.0326 |
171.791 | 0.000 | 0.000 | -0.156 | 0.0386 |-0.0094 |0.0000 |-0.0019 |0.0330 |
172.245 | 0.000 | 0.000 | -0.158 | 0.0390 |-0.0095 |0.0000 |-0.0019 |0.0334 |
172.695 | 0.000 | 0.000 | -0.160 | 0.0394 |-0.0096 |0.0000 |-0.0019 |0.0337 |
173.143 | 0.000 | 0.000 | -0.162 | 0.0398 |-0.0097 |0.0000 |-0.0019 |0.0341 |
173.587 | 0.000 | 0.000 | -0.165 | 0.0402 |-0.0098 |0.0000 |-0.0019 |0.0345 |
174.029 | 0.000 | 0.000 | -0.167 | 0.0406 |-0.0099 |0.0000 |-0.0020 |0.0348 |
174.468 | 0.000 | 0.000 | -0.169 | 0.0410 |-0.0100 |0.0000 |-0.0020 |0.0352 |
174.904 | 0.000 | 0.000 | -0.171 | 0.0414 |-0.0101 |0.0000 |-0.0020 |0.0356 |
175.337 | 0.000 | 0.000 | -0.173 | 0.0418 |-0.0102 |0.0000 |-0.0020 |0.0359 |
175.768 | 0.000 | 0.000 | -0.175 | 0.0422 |-0.0103 |0.0000 |-0.0020 |0.0363 |
176.195 | 0.000 | 0.000 | -0.178 | 0.0426 |-0.0103 |0.0000 |-0.0021 |0.0366 |
176.621 | 0.000 | 0.000 | -0.180 | 0.0430 |-0.0104 |0.0000 |-0.0021 |0.0370 |
177.043 | 0.000 | 0.000 | -0.182 | 0.0434 |-0.0105 |0.0000 |-0.0021 |0.0374 |
