Test angle: 15
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | 0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | 0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | 0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
107.326 | -0.000 | 0.000 | 0.000 | 0.0015 |-0.0005 |0.0000 |-0.0000 |0.0000 |
107.788 | -0.000 | 0.000 | -0.001 | 0.0017 |-0.0005 |0.0000 |-0.0000 |0.0001 |
108.237 | -0.000 | 0.000 | -0.003 | 0.0018 |-0.0006 |0.0000 |-0.0001 |0.0002 |
108.680 | -0.000 | 0.000 | -0.004 | 0.0019 |-0.0006 |0.0000 |-0.0001 |0.0003 |
109.333 | -0.000 | 0.000 | -0.006 | 0.0020 |-0.0006 |0.0000 |-0.0001 |0.0005 |
110.290 | 0.000 | 0.000 | -0.009 | 0.0023 |-0.0007 |0.0000 |-0.0002 |0.0007 |
111.683 | 0.000 | 0.000 | -0.014 | 0.0027 |-0.0008 |0.0000 |-0.0003 |0.0010 |
113.274 | 0.000 | 0.000 | -0.020 | 0.0031 |-0.0009 |0.0000 |-0.0004 |0.0014 |
114.807 | 0.000 | 0.000 | -0.026 | 0.0035 |-0.0011 |0.0000 |-0.0005 |0.0018 |
116.288 | 0.000 | 0.000 | -0.032 | 0.0039 |-0.0012 |0.0000 |-0.0006 |0.0022 |
117.722 | 0.000 | 0.000 | -0.038 | 0.0044 |-0.0013 |0.0000 |-0.0007 |0.0026 |
119.112 | 0.000 | 0.000 | -0.044 | 0.0048 |-0.0014 |0.0000 |-0.0008 |0.0030 |
120.462 | 0.000 | 0.000 | -0.051 | 0.0052 |-0.0015 |0.0000 |-0.0009 |0.0033 |
121.774 | 0.000 | 0.000 | -0.058 | 0.0057 |-0.0016 |0.0000 |-0.0010 |0.0037 |
123.051 | 0.000 | 0.000 | -0.064 | 0.0061 |-0.0018 |0.0000 |-0.0011 |0.0041 |
124.297 | 0.000 | 0.000 | -0.071 | 0.0065 |-0.0019 |0.0000 |-0.0012 |0.0045 |
125.511 | 0.000 | 0.000 | -0.078 | 0.0069 |-0.0020 |0.0000 |-0.0013 |0.0049 |
126.696 | 0.000 | 0.000 | -0.085 | 0.0074 |-0.0021 |0.0000 |-0.0014 |0.0053 |
127.854 | 0.000 | 0.000 | -0.092 | 0.0078 |-0.0022 |0.0000 |-0.0015 |0.0057 |
128.986 | 0.000 | 0.000 | -0.099 | 0.0082 |-0.0023 |0.0000 |-0.0016 |0.0060 |
130.094 | 0.000 | 0.000 | -0.107 | 0.0086 |-0.0025 |0.0000 |-0.0017 |0.0064 |
131.179 | 0.000 | 0.000 | -0.114 | 0.0090 |-0.0026 |0.0000 |-0.0018 |0.0068 |
132.242 | 0.000 | 0.000 | -0.121 | 0.0095 |-0.0027 |0.0000 |-0.0019 |0.0072 |
133.283 | 0.000 | 0.000 | -0.129 | 0.0099 |-0.0028 |0.0000 |-0.0020 |0.0076 |
134.305 | 0.000 | 0.000 | -0.137 | 0.0103 |-0.0029 |0.0000 |-0.0021 |0.0080 |
135.308 | 0.000 | 0.000 | -0.144 | 0.0107 |-0.0030 |0.0000 |-0.0022 |0.0084 |
136.292 | 0.000 | 0.000 | -0.152 | 0.0111 |-0.0032 |0.0000 |-0.0023 |0.0087 |
137.259 | 0.000 | 0.000 | -0.160 | 0.0116 |-0.0033 |0.0000 |-0.0024 |0.0091 |
138.209 | 0.000 | 0.000 | -0.168 | 0.0120 |-0.0034 |0.0000 |-0.0025 |0.0095 |
139.143 | 0.000 | 0.000 | -0.176 | 0.0124 |-0.0035 |0.0000 |-0.0026 |0.0099 |
140.062 | 0.000 | 0.000 | -0.184 | 0.0128 |-0.0036 |0.0000 |-0.0027 |0.0103 |
140.966 | 0.000 | 0.000 | -0.192 | 0.0132 |-0.0037 |0.0000 |-0.0028 |0.0107 |
141.855 | 0.000 | 0.000 | -0.200 | 0.0136 |-0.0038 |0.0000 |-0.0029 |0.0111 |
142.731 | 0.000 | 0.000 | -0.209 | 0.0141 |-0.0040 |0.0000 |-0.0030 |0.0114 |
143.594 | 0.000 | 0.000 | -0.217 | 0.0145 |-0.0041 |0.0000 |-0.0031 |0.0118 |
144.443 | 0.000 | 0.000 | -0.225 | 0.0149 |-0.0042 |0.0000 |-0.0032 |0.0122 |
145.281 | 0.000 | 0.000 | -0.234 | 0.0153 |-0.0043 |0.0000 |-0.0033 |0.0126 |
146.106 | 0.000 | 0.000 | -0.242 | 0.0157 |-0.0044 |0.0000 |-0.0034 |0.0130 |
146.920 | 0.000 | 0.000 | -0.251 | 0.0161 |-0.0045 |0.0000 |-0.0035 |0.0134 |
147.723 | 0.000 | 0.000 | -0.259 | 0.0165 |-0.0046 |0.0000 |-0.0036 |0.0137 |
148.515 | 0.000 | 0.000 | -0.268 | 0.0170 |-0.0048 |0.0000 |-0.0037 |0.0141 |
149.296 | 0.001 | 0.000 | -0.277 | 0.0174 |-0.0049 |0.0000 |-0.0038 |0.0145 |
150.068 | 0.001 | 0.000 | -0.286 | 0.0178 |-0.0050 |0.0000 |-0.0039 |0.0149 |
150.829 | 0.001 | 0.000 | -0.294 | 0.0182 |-0.0051 |0.0000 |-0.0040 |0.0153 |
151.581 | 0.001 | 0.000 | -0.303 | 0.0186 |-0.0052 |0.0000 |-0.0041 |0.0157 |
152.323 | 0.001 | 0.000 | -0.312 | 0.0190 |-0.0053 |0.0000 |-0.0042 |0.0160 |
153.057 | 0.001 | 0.000 | -0.321 | 0.0194 |-0.0054 |0.0000 |-0.0043 |0.0164 |
153.782 | 0.001 | 0.000 | -0.330 | 0.0199 |-0.0055 |0.0000 |-0.0044 |0.0168 |
154.498 | 0.001 | 0.000 | -0.339 | 0.0203 |-0.0057 |0.0000 |-0.0045 |0.0172 |
155.207 | 0.001 | 0.000 | -0.349 | 0.0207 |-0.0058 |0.0000 |-0.0046 |0.0176 |
155.907 | 0.001 | 0.000 | -0.358 | 0.0211 |-0.0059 |0.0000 |-0.0047 |0.0180 |
156.599 | 0.001 | 0.000 | -0.367 | 0.0215 |-0.0060 |0.0000 |-0.0048 |0.0183 |
157.284 | 0.001 | 0.000 | -0.376 | 0.0219 |-0.0061 |0.0000 |-0.0049 |0.0187 |
157.961 | 0.001 | 0.000 | -0.386 | 0.0223 |-0.0062 |0.0000 |-0.0050 |0.0191 |
158.631 | 0.001 | 0.000 | -0.395 | 0.0227 |-0.0063 |0.0000 |-0.0051 |0.0195 |
159.293 | 0.001 | 0.000 | -0.404 | 0.0232 |-0.0064 |0.0000 |-0.0052 |0.0199 |
159.949 | 0.001 | 0.000 | -0.414 | 0.0236 |-0.0066 |0.0000 |-0.0053 |0.0203 |
160.599 | 0.001 | 0.000 | -0.423 | 0.0240 |-0.0067 |0.0000 |-0.0054 |0.0206 |
161.241 | 0.001 | 0.000 | -0.433 | 0.0244 |-0.0068 |0.0000 |-0.0055 |0.0210 |
161.877 | 0.001 | 0.000 | -0.443 | 0.0248 |-0.0069 |0.0000 |-0.0056 |0.0214 |
162.507 | 0.001 | 0.000 | -0.452 | 0.0252 |-0.0070 |0.0000 |-0.0057 |0.0218 |
163.131 | 0.001 | 0.000 | -0.462 | 0.0256 |-0.0071 |0.0000 |-0.0058 |0.0222 |
163.749 | 0.001 | 0.000 | -0.472 | 0.0260 |-0.0072 |0.0000 |-0.0059 |0.0225 |
164.361 | 0.001 | 0.000 | -0.481 | 0.0264 |-0.0073 |0.0000 |-0.0060 |0.0229 |
164.967 | 0.001 | 0.000 | -0.491 | 0.0269 |-0.0075 |0.0000 |-0.0061 |0.0233 |
165.568 | 0.002 | 0.000 | -0.501 | 0.0273 |-0.0076 |0.0000 |-0.0062 |0.0237 |
166.163 | 0.002 | 0.000 | -0.511 | 0.0277 |-0.0077 |0.0000 |-0.0063 |0.0241 |
166.753 | 0.002 | 0.000 | -0.521 | 0.0281 |-0.0078 |0.0000 |-0.0064 |0.0245 |
167.337 | 0.002 | 0.000 | -0.531 | 0.0285 |-0.0079 |0.0000 |-0.0065 |0.0248 |
167.916 | 0.002 | 0.000 | -0.541 | 0.0289 |-0.0080 |0.0000 |-0.0066 |0.0252 |
168.491 | 0.002 | 0.000 | -0.551 | 0.0293 |-0.0081 |0.0000 |-0.0067 |0.0256 |
169.060 | 0.002 | 0.000 | -0.561 | 0.0297 |-0.0082 |0.0000 |-0.0068 |0.0260 |
169.624 | 0.002 | 0.000 | -0.571 | 0.0301 |-0.0084 |0.0000 |-0.0069 |0.0264 |
170.184 | 0.002 | 0.000 | -0.581 | 0.0305 |-0.0085 |0.0000 |-0.0070 |0.0267 |
170.739 | 0.002 | 0.000 | -0.591 | 0.0309 |-0.0086 |0.0000 |-0.0071 |0.0271 |
171.290 | 0.002 | 0.000 | -0.602 | 0.0313 |-0.0087 |0.0000 |-0.0072 |0.0275 |
171.836 | 0.002 | 0.000 | -0.612 | 0.0318 |-0.0088 |0.0000 |-0.0073 |0.0279 |
172.378 | 0.002 | 0.000 | -0.622 | 0.0322 |-0.0089 |0.0000 |-0.0074 |0.0283 |
172.915 | 0.002 | 0.000 | -0.632 | 0.0326 |-0.0090 |0.0000 |-0.0075 |0.0286 |
173.448 | 0.002 | 0.000 | -0.643 | 0.0330 |-0.0091 |0.0000 |-0.0076 |0.0290 |
173.977 | 0.002 | 0.000 | -0.653 | 0.0334 |-0.0092 |0.0000 |-0.0077 |0.0294 |
174.502 | 0.003 | 0.000 | -0.664 | 0.0338 |-0.0094 |0.0000 |-0.0078 |0.0298 |
175.023 | 0.003 | 0.000 | -0.674 | 0.0342 |-0.0095 |0.0000 |-0.0079 |0.0302 |
175.540 | 0.003 | 0.000 | -0.685 | 0.0346 |-0.0096 |0.0000 |-0.0080 |0.0305 |
176.053 | 0.003 | 0.000 | -0.695 | 0.0350 |-0.0097 |0.0000 |-0.0081 |0.0309 |
176.562 | 0.003 | 0.000 | -0.706 | 0.0354 |-0.0098 |0.0000 |-0.0082 |0.0313 |
177.067 | 0.003 | 0.000 | -0.716 | 0.0358 |-0.0099 |0.0000 |-0.0083 |0.0317 |
177.569 | 0.003 | 0.000 | -0.727 | 0.0362 |-0.0100 |0.0000 |-0.0084 |0.0321 |
178.067 | 0.003 | 0.000 | -0.737 | 0.0366 |-0.0101 |0.0000 |-0.0085 |0.0324 |
178.561 | 0.003 | 0.000 | -0.748 | 0.0370 |-0.0102 |0.0000 |-0.0086 |0.0328 |
179.052 | 0.003 | 0.000 | -0.759 | 0.0374 |-0.0104 |0.0000 |-0.0087 |0.0332 |
179.540 | 0.003 | 0.000 | -0.770 | 0.0379 |-0.0105 |0.0000 |-0.0088 |0.0336 |
180.024 | 0.003 | 0.000 | -0.780 | 0.0383 |-0.0106 |0.0000 |-0.0089 |0.0340 |
180.505 | 0.003 | 0.000 | -0.791 | 0.0387 |-0.0107 |0.0000 |-0.0090 |0.0343 |
180.983 | 0.004 | 0.000 | -0.802 | 0.0391 |-0.0108 |0.0000 |-0.0091 |0.0347 |
181.457 | 0.004 | 0.000 | -0.813 | 0.0395 |-0.0109 |0.0000 |-0.0092 |0.0351 |
181.929 | 0.004 | 0.000 | -0.824 | 0.0399 |-0.0110 |0.0000 |-0.0093 |0.0355 |
182.397 | 0.004 | 0.000 | -0.835 | 0.0403 |-0.0111 |0.0000 |-0.0094 |0.0359 |
182.862 | 0.004 | 0.000 | -0.845 | 0.0407 |-0.0112 |0.0000 |-0.0095 |0.0362 |
183.324 | 0.004 | 0.000 | -0.856 | 0.0411 |-0.0113 |0.0000 |-0.0096 |0.0366 |
183.783 | 0.004 | 0.000 | -0.867 | 0.0415 |-0.0115 |0.0000 |-0.0097 |0.0370 |
184.239 | 0.004 | 0.000 | -0.878 | 0.0419 |-0.0116 |0.0000 |-0.0098 |0.0374 |
184.692 | 0.004 | 0.000 | -0.889 | 0.0423 |-0.0117 |0.0000 |-0.0099 |0.0377 |
185.142 | 0.004 | 0.000 | -0.901 | 0.0427 |-0.0118 |0.0000 |-0.0100 |0.0381 |
185.590 | 0.004 | 0.000 | -0.912 | 0.0431 |-0.0119 |0.0000 |-0.0101 |0.0385 |
