Test angle: 0
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | -0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | -0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | -0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
107.682 | -0.000 | 0.000 | -0.000 | 0.0015 |-0.0005 |0.0000 |-0.0000 |0.0000 |
114.176 | -0.000 | 0.000 | -0.000 | 0.0020 |-0.0007 |0.0000 |-0.0000 |0.0003 |
116.046 | -0.000 | 0.000 | -0.000 | 0.0024 |-0.0008 |0.0000 |-0.0000 |0.0007 |
117.832 | -0.000 | 0.000 | -0.000 | 0.0028 |-0.0010 |0.0000 |-0.0000 |0.0012 |
119.546 | -0.000 | 0.000 | -0.001 | 0.0033 |-0.0011 |0.0000 |-0.0000 |0.0016 |
121.196 | -0.000 | 0.000 | -0.001 | 0.0037 |-0.0013 |0.0000 |-0.0000 |0.0020 |
122.791 | -0.000 | 0.000 | -0.001 | 0.0041 |-0.0014 |0.0000 |-0.0000 |0.0024 |
124.333 | -0.000 | 0.000 | -0.001 | 0.0046 |-0.0016 |0.0000 |-0.0000 |0.0028 |
125.829 | 0.000 | 0.000 | -0.001 | 0.0050 |-0.0017 |0.0000 |-0.0000 |0.0032 |
127.279 | 0.000 | 0.000 | -0.002 | 0.0054 |-0.0019 |0.0000 |-0.0000 |0.0036 |
128.690 | 0.000 | 0.000 | -0.002 | 0.0058 |-0.0020 |0.0000 |-0.0000 |0.0040 |
130.062 | 0.000 | 0.000 | -0.002 | 0.0063 |-0.0022 |0.0000 |-0.0000 |0.0044 |
131.399 | 0.000 | 0.000 | -0.002 | 0.0067 |-0.0023 |0.0000 |-0.0000 |0.0048 |
132.703 | 0.000 | 0.000 | -0.002 | 0.0071 |-0.0025 |0.0000 |-0.0000 |0.0052 |
133.976 | 0.000 | 0.000 | -0.003 | 0.0075 |-0.0026 |0.0000 |-0.0000 |0.0056 |
135.219 | 0.000 | 0.000 | -0.003 | 0.0079 |-0.0028 |0.0000 |-0.0000 |0.0060 |
136.434 | 0.000 | 0.000 | -0.003 | 0.0084 |-0.0029 |0.0000 |-0.0000 |0.0064 |
137.623 | 0.000 | 0.000 | -0.003 | 0.0088 |-0.0030 |0.0000 |-0.0000 |0.0068 |
138.786 | 0.000 | 0.000 | -0.004 | 0.0092 |-0.0032 |0.0000 |-0.0001 |0.0072 |
139.926 | 0.000 | 0.000 | -0.004 | 0.0096 |-0.0033 |0.0000 |-0.0001 |0.0076 |
141.043 | 0.000 | 0.000 | -0.004 | 0.0100 |-0.0035 |0.0000 |-0.0001 |0.0080 |
142.139 | 0.000 | 0.000 | -0.004 | 0.0104 |-0.0036 |0.0000 |-0.0001 |0.0084 |
143.214 | 0.000 | 0.000 | -0.005 | 0.0109 |-0.0038 |0.0000 |-0.0001 |0.0088 |
144.269 | 0.000 | 0.000 | -0.005 | 0.0113 |-0.0039 |0.0000 |-0.0001 |0.0092 |
145.305 | 0.000 | 0.000 | -0.005 | 0.0117 |-0.0041 |0.0000 |-0.0001 |0.0096 |
146.324 | 0.000 | 0.000 | -0.005 | 0.0121 |-0.0042 |0.0000 |-0.0001 |0.0100 |
147.325 | 0.000 | 0.000 | -0.006 | 0.0125 |-0.0044 |0.0000 |-0.0001 |0.0104 |
148.309 | 0.000 | 0.000 | -0.006 | 0.0129 |-0.0045 |0.0000 |-0.0001 |0.0108 |
149.278 | 0.000 | 0.000 | -0.006 | 0.0134 |-0.0047 |0.0000 |-0.0001 |0.0112 |
150.231 | 0.000 | 0.000 | -0.006 | 0.0138 |-0.0048 |0.0000 |-0.0001 |0.0116 |
151.169 | 0.000 | 0.000 | -0.007 | 0.0142 |-0.0049 |0.0000 |-0.0001 |0.0120 |
152.093 | 0.000 | 0.000 | -0.007 | 0.0146 |-0.0051 |0.0000 |-0.0001 |0.0124 |
153.003 | 0.000 | 0.000 | -0.007 | 0.0150 |-0.0052 |0.0000 |-0.0001 |0.0128 |
153.900 | 0.000 | 0.000 | -0.007 | 0.0154 |-0.0054 |0.0000 |-0.0001 |0.0132 |
154.784 | 0.000 | 0.000 | -0.008 | 0.0158 |-0.0055 |0.0000 |-0.0001 |0.0136 |
155.656 | 0.000 | 0.000 | -0.008 | 0.0163 |-0.0057 |0.0000 |-0.0001 |0.0140 |
156.516 | 0.000 | 0.000 | -0.008 | 0.0167 |-0.0058 |0.0000 |-0.0001 |0.0144 |
157.364 | 0.000 | 0.000 | -0.008 | 0.0171 |-0.0060 |0.0000 |-0.0001 |0.0148 |
158.201 | 0.000 | 0.000 | -0.009 | 0.0175 |-0.0061 |0.0000 |-0.0001 |0.0152 |
159.027 | 0.000 | 0.000 | -0.009 | 0.0179 |-0.0062 |0.0000 |-0.0001 |0.0156 |
159.842 | 0.000 | 0.000 | -0.009 | 0.0183 |-0.0064 |0.0000 |-0.0001 |0.0160 |
160.647 | 0.000 | 0.000 | -0.010 | 0.0187 |-0.0065 |0.0000 |-0.0001 |0.0164 |
161.443 | 0.000 | 0.000 | -0.010 | 0.0191 |-0.0067 |0.0000 |-0.0001 |0.0168 |
162.228 | 0.000 | 0.000 | -0.010 | 0.0195 |-0.0068 |0.0000 |-0.0001 |0.0172 |
163.005 | 0.000 | 0.000 | -0.010 | 0.0200 |-0.0070 |0.0000 |-0.0001 |0.0176 |
163.772 | 0.000 | 0.000 | -0.011 | 0.0204 |-0.0071 |0.0000 |-0.0001 |0.0180 |
164.530 | 0.000 | 0.000 | -0.011 | 0.0208 |-0.0073 |0.0000 |-0.0001 |0.0184 |
165.280 | 0.000 | 0.000 | -0.011 | 0.0212 |-0.0074 |0.0000 |-0.0001 |0.0188 |
166.021 | 0.000 | 0.000 | -0.012 | 0.0216 |-0.0075 |0.0000 |-0.0001 |0.0192 |
166.754 | 0.000 | 0.000 | -0.012 | 0.0220 |-0.0077 |0.0000 |-0.0001 |0.0196 |
167.479 | 0.000 | 0.000 | -0.012 | 0.0224 |-0.0078 |0.0000 |-0.0001 |0.0200 |
168.196 | 0.000 | 0.000 | -0.012 | 0.0228 |-0.0080 |0.0000 |-0.0002 |0.0204 |
168.906 | 0.000 | 0.000 | -0.013 | 0.0232 |-0.0081 |0.0000 |-0.0002 |0.0208 |
169.608 | 0.000 | 0.000 | -0.013 | 0.0236 |-0.0083 |0.0000 |-0.0002 |0.0212 |
170.303 | 0.000 | 0.000 | -0.013 | 0.0241 |-0.0084 |0.0000 |-0.0002 |0.0216 |
170.992 | 0.000 | 0.000 | -0.014 | 0.0245 |-0.0086 |0.0000 |-0.0002 |0.0220 |
171.673 | 0.000 | 0.000 | -0.014 | 0.0249 |-0.0087 |0.0000 |-0.0002 |0.0224 |
172.347 | 0.000 | 0.000 | -0.014 | 0.0253 |-0.0088 |0.0000 |-0.0002 |0.0228 |
173.015 | 0.000 | 0.000 | -0.015 | 0.0257 |-0.0090 |0.0000 |-0.0002 |0.0232 |
173.677 | 0.000 | 0.000 | -0.015 | 0.0261 |-0.0091 |0.0000 |-0.0002 |0.0236 |
174.332 | 0.000 | 0.000 | -0.015 | 0.0265 |-0.0093 |0.0000 |-0.0002 |0.0240 |
174.981 | 0.000 | 0.000 | -0.016 | 0.0269 |-0.0094 |0.0000 |-0.0002 |0.0244 |
175.624 | 0.000 | 0.000 | -0.016 | 0.0273 |-0.0096 |0.0000 |-0.0002 |0.0248 |
176.261 | 0.000 | 0.000 | -0.016 | 0.0277 |-0.0097 |0.0000 |-0.0002 |0.0252 |
176.893 | 0.000 | 0.000 | -0.017 | 0.0281 |-0.0098 |0.0000 |-0.0002 |0.0256 |
177.519 | 0.000 | 0.000 | -0.017 | 0.0285 |-0.0100 |0.0000 |-0.0002 |0.0260 |
178.139 | 0.000 | 0.000 | -0.017 | 0.0289 |-0.0101 |0.0000 |-0.0002 |0.0264 |
178.754 | 0.000 | 0.000 | -0.017 | 0.0294 |-0.0103 |0.0000 |-0.0002 |0.0268 |
179.364 | 0.000 | 0.000 | -0.018 | 0.0298 |-0.0104 |0.0000 |-0.0002 |0.0272 |
179.969 | 0.000 | 0.000 | -0.018 | 0.0302 |-0.0106 |0.0000 |-0.0002 |0.0276 |
180.568 | 0.000 | 0.000 | -0.018 | 0.0306 |-0.0107 |0.0000 |-0.0002 |0.0280 |
181.163 | 0.000 | 0.000 | -0.019 | 0.0310 |-0.0108 |0.0000 |-0.0002 |0.0283 |
181.752 | 0.000 | 0.000 | -0.019 | 0.0314 |-0.0110 |0.0000 |-0.0002 |0.0287 |
182.337 | 0.000 | 0.000 | -0.019 | 0.0318 |-0.0111 |0.0000 |-0.0002 |0.0291 |
182.917 | 0.000 | 0.000 | -0.020 | 0.0322 |-0.0113 |0.0000 |-0.0002 |0.0295 |
183.493 | 0.000 | 0.000 | -0.020 | 0.0326 |-0.0114 |0.0000 |-0.0002 |0.0299 |
184.064 | 0.000 | 0.000 | -0.020 | 0.0330 |-0.0116 |0.0000 |-0.0002 |0.0303 |
184.630 | 0.000 | 0.000 | -0.021 | 0.0334 |-0.0117 |0.0000 |-0.0002 |0.0307 |
185.192 | 0.000 | 0.000 | -0.021 | 0.0338 |-0.0118 |0.0000 |-0.0002 |0.0311 |
185.750 | 0.000 | 0.000 | -0.021 | 0.0342 |-0.0120 |0.0000 |-0.0002 |0.0315 |
186.304 | 0.000 | 0.000 | -0.022 | 0.0346 |-0.0121 |0.0000 |-0.0002 |0.0319 |
186.853 | 0.000 | 0.000 | -0.022 | 0.0350 |-0.0123 |0.0000 |-0.0002 |0.0323 |
187.399 | 0.000 | 0.000 | -0.022 | 0.0354 |-0.0124 |0.0000 |-0.0002 |0.0327 |
187.940 | 0.000 | 0.000 | -0.023 | 0.0358 |-0.0126 |0.0000 |-0.0002 |0.0331 |
188.478 | 0.000 | 0.000 | -0.023 | 0.0362 |-0.0127 |0.0000 |-0.0003 |0.0335 |
189.012 | 0.000 | 0.000 | -0.023 | 0.0366 |-0.0128 |0.0000 |-0.0003 |0.0339 |
189.542 | 0.000 | 0.000 | -0.024 | 0.0370 |-0.0130 |0.0000 |-0.0003 |0.0343 |
190.068 | 0.000 | 0.000 | -0.024 | 0.0374 |-0.0131 |0.0000 |-0.0003 |0.0347 |
190.591 | 0.000 | 0.000 | -0.025 | 0.0379 |-0.0133 |0.0000 |-0.0003 |0.0351 |
191.110 | 0.000 | 0.000 | -0.025 | 0.0383 |-0.0134 |0.0000 |-0.0003 |0.0355 |
191.625 | 0.000 | 0.000 | -0.025 | 0.0387 |-0.0135 |0.0000 |-0.0003 |0.0359 |
192.137 | 0.000 | 0.000 | -0.026 | 0.0391 |-0.0137 |0.0000 |-0.0003 |0.0363 |
192.645 | 0.000 | 0.000 | -0.026 | 0.0395 |-0.0138 |0.0000 |-0.0003 |0.0367 |
193.150 | 0.000 | 0.000 | -0.026 | 0.0399 |-0.0140 |0.0000 |-0.0003 |0.0371 |
193.652 | 0.000 | 0.000 | -0.027 | 0.0403 |-0.0141 |0.0000 |-0.0003 |0.0375 |
194.150 | 0.000 | 0.000 | -0.027 | 0.0407 |-0.0143 |0.0000 |-0.0003 |0.0378 |
194.645 | 0.000 | 0.000 | -0.027 | 0.0411 |-0.0144 |0.0000 |-0.0003 |0.0382 |
195.137 | 0.000 | 0.000 | -0.028 | 0.0415 |-0.0145 |0.0000 |-0.0003 |0.0386 |
195.626 | 0.000 | 0.000 | -0.028 | 0.0419 |-0.0147 |0.0000 |-0.0003 |0.0390 |
196.112 | 0.000 | 0.000 | -0.028 | 0.0423 |-0.0148 |0.0000 |-0.0003 |0.0394 |
196.594 | 0.000 | 0.000 | -0.029 | 0.0427 |-0.0150 |0.0000 |-0.0003 |0.0398 |
197.074 | 0.000 | 0.000 | -0.029 | 0.0431 |-0.0151 |0.0000 |-0.0003 |0.0402 |
197.551 | 0.000 | 0.000 | -0.030 | 0.0435 |-0.0152 |0.0000 |-0.0003 |0.0406 |
198.025 | 0.000 | 0.000 | -0.030 | 0.0439 |-0.0154 |0.0000 |-0.0003 |0.0410 |
198.495 | 0.000 | 0.000 | -0.030 | 0.0443 |-0.0155 |0.0000 |-0.0003 |0.0414 |
