Test angle: 15
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | 0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | 0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | 0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
107.188 | -0.000 | 0.000 | 0.000 | 0.0015 |-0.0005 |0.0000 |-0.0000 |0.0000 |
107.647 | -0.000 | 0.000 | -0.001 | 0.0017 |-0.0005 |0.0000 |-0.0000 |0.0001 |
108.095 | -0.000 | 0.000 | -0.003 | 0.0018 |-0.0006 |0.0000 |-0.0001 |0.0002 |
108.536 | -0.000 | 0.000 | -0.004 | 0.0019 |-0.0006 |0.0000 |-0.0001 |0.0003 |
109.188 | -0.000 | 0.000 | -0.006 | 0.0020 |-0.0006 |0.0000 |-0.0001 |0.0005 |
110.142 | 0.000 | 0.000 | -0.009 | 0.0023 |-0.0007 |0.0000 |-0.0002 |0.0007 |
111.531 | 0.000 | 0.000 | -0.014 | 0.0027 |-0.0008 |0.0000 |-0.0003 |0.0010 |
113.117 | 0.000 | 0.000 | -0.020 | 0.0031 |-0.0009 |0.0000 |-0.0004 |0.0014 |
114.647 | 0.000 | 0.000 | -0.026 | 0.0035 |-0.0011 |0.0000 |-0.0005 |0.0018 |
116.124 | 0.000 | 0.000 | -0.032 | 0.0039 |-0.0012 |0.0000 |-0.0006 |0.0022 |
117.554 | 0.000 | 0.000 | -0.039 | 0.0044 |-0.0013 |0.0000 |-0.0007 |0.0026 |
118.940 | 0.000 | 0.000 | -0.045 | 0.0048 |-0.0014 |0.0000 |-0.0008 |0.0030 |
120.287 | 0.000 | 0.000 | -0.052 | 0.0052 |-0.0015 |0.0000 |-0.0009 |0.0033 |
121.596 | 0.000 | 0.000 | -0.058 | 0.0057 |-0.0016 |0.0000 |-0.0010 |0.0037 |
122.870 | 0.000 | 0.000 | -0.065 | 0.0061 |-0.0018 |0.0000 |-0.0011 |0.0041 |
124.112 | 0.000 | 0.000 | -0.072 | 0.0065 |-0.0019 |0.0000 |-0.0012 |0.0045 |
125.323 | 0.000 | 0.000 | -0.079 | 0.0069 |-0.0020 |0.0000 |-0.0013 |0.0049 |
126.505 | 0.000 | 0.000 | -0.086 | 0.0074 |-0.0021 |0.0000 |-0.0014 |0.0053 |
127.661 | 0.000 | 0.000 | -0.093 | 0.0078 |-0.0022 |0.0000 |-0.0015 |0.0057 |
128.790 | 0.000 | 0.000 | -0.101 | 0.0082 |-0.0023 |0.0000 |-0.0016 |0.0060 |
129.895 | 0.000 | 0.000 | -0.108 | 0.0086 |-0.0024 |0.0000 |-0.0017 |0.0064 |
130.978 | 0.000 | 0.000 | -0.115 | 0.0090 |-0.0026 |0.0000 |-0.0018 |0.0068 |
132.038 | 0.000 | 0.000 | -0.123 | 0.0095 |-0.0027 |0.0000 |-0.0019 |0.0072 |
133.077 | 0.000 | 0.000 | -0.131 | 0.0099 |-0.0028 |0.0000 |-0.0020 |0.0076 |
134.097 | 0.000 | 0.000 | -0.138 | 0.0103 |-0.0029 |0.0000 |-0.0021 |0.0080 |
135.097 | 0.000 | 0.000 | -0.146 | 0.0107 |-0.0030 |0.0000 |-0.0022 |0.0084 |
136.079 | 0.000 | 0.000 | -0.154 | 0.0111 |-0.0031 |0.0000 |-0.0023 |0.0087 |
137.044 | 0.000 | 0.000 | -0.162 | 0.0116 |-0.0033 |0.0000 |-0.0024 |0.0091 |
137.992 | 0.000 | 0.000 | -0.170 | 0.0120 |-0.0034 |0.0000 |-0.0025 |0.0095 |
138.923 | 0.000 | 0.000 | -0.178 | 0.0124 |-0.0035 |0.0000 |-0.0026 |0.0099 |
139.840 | 0.000 | 0.000 | -0.186 | 0.0128 |-0.0036 |0.0000 |-0.0027 |0.0103 |
140.742 | 0.000 | 0.000 | -0.194 | 0.0132 |-0.0037 |0.0000 |-0.0028 |0.0107 |
141.629 | 0.000 | 0.000 | -0.203 | 0.0136 |-0.0038 |0.0000 |-0.0029 |0.0110 |
142.503 | 0.000 | 0.000 | -0.211 | 0.0141 |-0.0039 |0.0000 |-0.0030 |0.0114 |
143.364 | 0.000 | 0.000 | -0.220 | 0.0145 |-0.0041 |0.0000 |-0.0031 |0.0118 |
144.211 | 0.000 | 0.000 | -0.228 | 0.0149 |-0.0042 |0.0000 |-0.0032 |0.0122 |
145.047 | 0.000 | 0.000 | -0.237 | 0.0153 |-0.0043 |0.0000 |-0.0033 |0.0126 |
145.870 | 0.000 | 0.000 | -0.245 | 0.0157 |-0.0044 |0.0000 |-0.0034 |0.0130 |
146.682 | 0.000 | 0.000 | -0.254 | 0.0161 |-0.0045 |0.0000 |-0.0035 |0.0133 |
147.483 | 0.000 | 0.000 | -0.263 | 0.0166 |-0.0046 |0.0000 |-0.0036 |0.0137 |
148.274 | 0.000 | 0.000 | -0.271 | 0.0170 |-0.0047 |0.0000 |-0.0037 |0.0141 |
149.053 | 0.001 | 0.000 | -0.280 | 0.0174 |-0.0048 |0.0000 |-0.0038 |0.0145 |
149.823 | 0.001 | 0.000 | -0.289 | 0.0178 |-0.0050 |0.0000 |-0.0039 |0.0149 |
150.583 | 0.001 | 0.000 | -0.298 | 0.0182 |-0.0051 |0.0000 |-0.0040 |0.0153 |
151.333 | 0.001 | 0.000 | -0.307 | 0.0186 |-0.0052 |0.0000 |-0.0041 |0.0156 |
152.074 | 0.001 | 0.000 | -0.316 | 0.0190 |-0.0053 |0.0000 |-0.0042 |0.0160 |
152.806 | 0.001 | 0.000 | -0.325 | 0.0194 |-0.0054 |0.0000 |-0.0043 |0.0164 |
153.529 | 0.001 | 0.000 | -0.334 | 0.0199 |-0.0055 |0.0000 |-0.0044 |0.0168 |
154.244 | 0.001 | 0.000 | -0.344 | 0.0203 |-0.0056 |0.0000 |-0.0045 |0.0172 |
154.951 | 0.001 | 0.000 | -0.353 | 0.0207 |-0.0057 |0.0000 |-0.0046 |0.0176 |
155.649 | 0.001 | 0.000 | -0.362 | 0.0211 |-0.0059 |0.0000 |-0.0047 |0.0179 |
156.340 | 0.001 | 0.000 | -0.371 | 0.0215 |-0.0060 |0.0000 |-0.0048 |0.0183 |
157.023 | 0.001 | 0.000 | -0.381 | 0.0219 |-0.0061 |0.0000 |-0.0049 |0.0187 |
157.699 | 0.001 | 0.000 | -0.390 | 0.0223 |-0.0062 |0.0000 |-0.0050 |0.0191 |
158.367 | 0.001 | 0.000 | -0.400 | 0.0227 |-0.0063 |0.0000 |-0.0051 |0.0195 |
159.029 | 0.001 | 0.000 | -0.409 | 0.0232 |-0.0064 |0.0000 |-0.0052 |0.0199 |
159.683 | 0.001 | 0.000 | -0.419 | 0.0236 |-0.0065 |0.0000 |-0.0053 |0.0202 |
160.331 | 0.001 | 0.000 | -0.429 | 0.0240 |-0.0066 |0.0000 |-0.0054 |0.0206 |
160.972 | 0.001 | 0.000 | -0.438 | 0.0244 |-0.0068 |0.0000 |-0.0055 |0.0210 |
161.607 | 0.001 | 0.000 | -0.448 | 0.0248 |-0.0069 |0.0000 |-0.0056 |0.0214 |
162.235 | 0.001 | 0.000 | -0.458 | 0.0252 |-0.0070 |0.0000 |-0.0057 |0.0218 |
162.858 | 0.001 | 0.000 | -0.468 | 0.0256 |-0.0071 |0.0000 |-0.0058 |0.0221 |
163.474 | 0.001 | 0.000 | -0.477 | 0.0260 |-0.0072 |0.0000 |-0.0059 |0.0225 |
164.085 | 0.001 | 0.000 | -0.487 | 0.0264 |-0.0073 |0.0000 |-0.0060 |0.0229 |
164.690 | 0.002 | 0.000 | -0.497 | 0.0269 |-0.0074 |0.0000 |-0.0061 |0.0233 |
165.289 | 0.002 | 0.000 | -0.507 | 0.0273 |-0.0075 |0.0000 |-0.0062 |0.0237 |
165.883 | 0.002 | 0.000 | -0.517 | 0.0277 |-0.0076 |0.0000 |-0.0063 |0.0240 |
166.472 | 0.002 | 0.000 | -0.527 | 0.0281 |-0.0078 |0.0000 |-0.0064 |0.0244 |
167.055 | 0.002 | 0.000 | -0.537 | 0.0285 |-0.0079 |0.0000 |-0.0066 |0.0248 |
167.633 | 0.002 | 0.000 | -0.547 | 0.0289 |-0.0080 |0.0000 |-0.0067 |0.0252 |
168.206 | 0.002 | 0.000 | -0.558 | 0.0293 |-0.0081 |0.0000 |-0.0068 |0.0256 |
168.774 | 0.002 | 0.000 | -0.568 | 0.0297 |-0.0082 |0.0000 |-0.0069 |0.0260 |
169.337 | 0.002 | 0.000 | -0.578 | 0.0301 |-0.0083 |0.0000 |-0.0070 |0.0263 |
169.896 | 0.002 | 0.000 | -0.588 | 0.0305 |-0.0084 |0.0000 |-0.0071 |0.0267 |
170.449 | 0.002 | 0.000 | -0.599 | 0.0309 |-0.0085 |0.0000 |-0.0072 |0.0271 |
170.999 | 0.002 | 0.000 | -0.609 | 0.0313 |-0.0086 |0.0000 |-0.0073 |0.0275 |
171.544 | 0.002 | 0.000 | -0.619 | 0.0318 |-0.0088 |0.0000 |-0.0074 |0.0279 |
172.084 | 0.002 | 0.000 | -0.630 | 0.0322 |-0.0089 |0.0000 |-0.0075 |0.0282 |
172.620 | 0.002 | 0.000 | -0.640 | 0.0326 |-0.0090 |0.0000 |-0.0076 |0.0286 |
173.152 | 0.002 | 0.000 | -0.651 | 0.0330 |-0.0091 |0.0000 |-0.0077 |0.0290 |
173.680 | 0.003 | 0.000 | -0.661 | 0.0334 |-0.0092 |0.0000 |-0.0078 |0.0294 |
174.204 | 0.003 | 0.000 | -0.672 | 0.0338 |-0.0093 |0.0000 |-0.0079 |0.0298 |
174.724 | 0.003 | 0.000 | -0.682 | 0.0342 |-0.0094 |0.0000 |-0.0080 |0.0301 |
175.239 | 0.003 | 0.000 | -0.693 | 0.0346 |-0.0095 |0.0000 |-0.0081 |0.0305 |
175.751 | 0.003 | 0.000 | -0.704 | 0.0350 |-0.0096 |0.0000 |-0.0082 |0.0309 |
176.259 | 0.003 | 0.000 | -0.714 | 0.0354 |-0.0097 |0.0000 |-0.0083 |0.0313 |
176.764 | 0.003 | 0.000 | -0.725 | 0.0358 |-0.0099 |0.0000 |-0.0084 |0.0316 |
177.264 | 0.003 | 0.000 | -0.736 | 0.0362 |-0.0100 |0.0000 |-0.0085 |0.0320 |
177.761 | 0.003 | 0.000 | -0.746 | 0.0366 |-0.0101 |0.0000 |-0.0086 |0.0324 |
178.255 | 0.003 | 0.000 | -0.757 | 0.0370 |-0.0102 |0.0000 |-0.0087 |0.0328 |
178.745 | 0.003 | 0.000 | -0.768 | 0.0374 |-0.0103 |0.0000 |-0.0088 |0.0332 |
179.231 | 0.003 | 0.000 | -0.779 | 0.0379 |-0.0104 |0.0000 |-0.0089 |0.0335 |
179.714 | 0.003 | 0.000 | -0.790 | 0.0383 |-0.0105 |0.0000 |-0.0090 |0.0339 |
180.194 | 0.004 | 0.000 | -0.801 | 0.0387 |-0.0106 |0.0000 |-0.0091 |0.0343 |
180.671 | 0.004 | 0.000 | -0.812 | 0.0391 |-0.0107 |0.0000 |-0.0092 |0.0347 |
181.144 | 0.004 | 0.000 | -0.823 | 0.0395 |-0.0108 |0.0000 |-0.0093 |0.0351 |
181.615 | 0.004 | 0.000 | -0.834 | 0.0399 |-0.0110 |0.0000 |-0.0094 |0.0354 |
182.082 | 0.004 | 0.000 | -0.845 | 0.0403 |-0.0111 |0.0000 |-0.0095 |0.0358 |
182.546 | 0.004 | 0.000 | -0.856 | 0.0407 |-0.0112 |0.0000 |-0.0096 |0.0362 |
183.007 | 0.004 | 0.000 | -0.867 | 0.0411 |-0.0113 |0.0000 |-0.0097 |0.0366 |
183.465 | 0.004 | 0.000 | -0.878 | 0.0415 |-0.0114 |0.0000 |-0.0098 |0.0369 |
183.920 | 0.004 | 0.000 | -0.889 | 0.0419 |-0.0115 |0.0000 |-0.0099 |0.0373 |
184.372 | 0.004 | 0.000 | -0.900 | 0.0423 |-0.0116 |0.0000 |-0.0100 |0.0377 |
184.821 | 0.004 | 0.000 | -0.912 | 0.0427 |-0.0117 |0.0000 |-0.0101 |0.0381 |
185.268 | 0.005 | 0.000 | -0.923 | 0.0431 |-0.0118 |0.0000 |-0.0102 |0.0385 |
