Test angle: 75
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | 0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | -0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | 0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | -0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
104.588 | -0.000 | 0.000 | 0.001 | 0.0015 |-0.0005 |0.0000 |0.0000 |0.0001 |
105.019 | -0.000 | 0.000 | 0.002 | 0.0017 |-0.0005 |0.0000 |0.0000 |0.0001 |
105.652 | -0.000 | 0.000 | 0.004 | 0.0018 |-0.0006 |0.0000 |0.0001 |0.0003 |
106.580 | -0.000 | 0.000 | 0.007 | 0.0021 |-0.0007 |0.0000 |0.0001 |0.0005 |
107.928 | 0.000 | 0.000 | 0.012 | 0.0024 |-0.0008 |0.0000 |0.0002 |0.0008 |
109.465 | 0.000 | 0.000 | 0.018 | 0.0029 |-0.0009 |0.0000 |0.0003 |0.0012 |
110.946 | 0.000 | 0.000 | 0.024 | 0.0033 |-0.0010 |0.0000 |0.0004 |0.0016 |
112.376 | 0.000 | 0.000 | 0.030 | 0.0037 |-0.0011 |0.0000 |0.0005 |0.0020 |
113.760 | 0.000 | 0.000 | 0.036 | 0.0042 |-0.0012 |0.0000 |0.0006 |0.0024 |
115.102 | 0.000 | 0.000 | 0.042 | 0.0046 |-0.0014 |0.0000 |0.0007 |0.0027 |
116.405 | 0.000 | 0.000 | 0.049 | 0.0050 |-0.0015 |0.0000 |0.0009 |0.0031 |
117.671 | 0.000 | 0.000 | 0.055 | 0.0055 |-0.0016 |0.0000 |0.0010 |0.0035 |
118.904 | 0.000 | 0.000 | 0.062 | 0.0059 |-0.0017 |0.0000 |0.0011 |0.0039 |
120.105 | 0.000 | 0.000 | 0.069 | 0.0063 |-0.0018 |0.0000 |0.0012 |0.0043 |
121.276 | 0.000 | 0.000 | 0.076 | 0.0067 |-0.0019 |0.0000 |0.0013 |0.0046 |
122.420 | 0.000 | 0.000 | 0.083 | 0.0072 |-0.0021 |0.0000 |0.0014 |0.0050 |
123.537 | 0.000 | 0.000 | 0.090 | 0.0076 |-0.0022 |0.0000 |0.0015 |0.0054 |
124.629 | 0.000 | 0.000 | 0.097 | 0.0080 |-0.0023 |0.0000 |0.0016 |0.0058 |
125.698 | 0.000 | 0.000 | 0.104 | 0.0084 |-0.0024 |0.0000 |0.0017 |0.0061 |
126.745 | 0.000 | 0.000 | 0.112 | 0.0088 |-0.0025 |0.0000 |0.0018 |0.0065 |
127.770 | 0.000 | 0.000 | 0.119 | 0.0093 |-0.0026 |0.0000 |0.0019 |0.0069 |
128.774 | 0.000 | 0.000 | 0.127 | 0.0097 |-0.0028 |0.0000 |0.0020 |0.0073 |
129.760 | 0.000 | 0.000 | 0.134 | 0.0101 |-0.0029 |0.0000 |0.0021 |0.0076 |
130.727 | 0.000 | 0.000 | 0.142 | 0.0105 |-0.0030 |0.0000 |0.0022 |0.0080 |
131.677 | 0.000 | 0.000 | 0.150 | 0.0110 |-0.0031 |0.0000 |0.0023 |0.0084 |
132.609 | 0.000 | 0.000 | 0.157 | 0.0114 |-0.0032 |0.0000 |0.0024 |0.0088 |
133.526 | 0.000 | 0.000 | 0.165 | 0.0118 |-0.0033 |0.0000 |0.0025 |0.0091 |
134.426 | 0.000 | 0.000 | 0.173 | 0.0122 |-0.0035 |0.0000 |0.0026 |0.0095 |
135.312 | 0.000 | 0.000 | 0.181 | 0.0126 |-0.0036 |0.0000 |0.0027 |0.0099 |
136.184 | 0.000 | 0.000 | 0.189 | 0.0130 |-0.0037 |0.0000 |0.0028 |0.0103 |
137.042 | 0.000 | 0.000 | 0.198 | 0.0135 |-0.0038 |0.0000 |0.0029 |0.0106 |
137.887 | 0.000 | 0.000 | 0.206 | 0.0139 |-0.0039 |0.0000 |0.0030 |0.0110 |
138.718 | 0.000 | 0.000 | 0.214 | 0.0143 |-0.0040 |0.0000 |0.0031 |0.0114 |
139.538 | 0.000 | 0.000 | 0.222 | 0.0147 |-0.0041 |0.0000 |0.0032 |0.0118 |
140.346 | 0.000 | 0.000 | 0.231 | 0.0151 |-0.0043 |0.0000 |0.0033 |0.0121 |
141.142 | 0.000 | 0.000 | 0.239 | 0.0155 |-0.0044 |0.0000 |0.0034 |0.0125 |
141.927 | 0.000 | 0.000 | 0.248 | 0.0160 |-0.0045 |0.0000 |0.0035 |0.0129 |
142.701 | 0.000 | 0.000 | 0.256 | 0.0164 |-0.0046 |0.0000 |0.0036 |0.0133 |
143.465 | 0.000 | 0.000 | 0.265 | 0.0168 |-0.0047 |0.0000 |0.0037 |0.0136 |
144.218 | 0.001 | 0.000 | 0.274 | 0.0172 |-0.0048 |0.0000 |0.0038 |0.0140 |
144.962 | 0.001 | 0.000 | 0.283 | 0.0176 |-0.0049 |0.0000 |0.0039 |0.0144 |
145.696 | 0.001 | 0.000 | 0.291 | 0.0180 |-0.0051 |0.0000 |0.0040 |0.0148 |
146.422 | 0.001 | 0.000 | 0.300 | 0.0185 |-0.0052 |0.0000 |0.0042 |0.0151 |
147.138 | 0.001 | 0.000 | 0.309 | 0.0189 |-0.0053 |0.0000 |0.0043 |0.0155 |
147.845 | 0.001 | 0.000 | 0.318 | 0.0193 |-0.0054 |0.0000 |0.0044 |0.0159 |
148.544 | 0.001 | 0.000 | 0.327 | 0.0197 |-0.0055 |0.0000 |0.0045 |0.0163 |
149.235 | 0.001 | 0.000 | 0.336 | 0.0201 |-0.0056 |0.0000 |0.0046 |0.0166 |
149.918 | 0.001 | 0.000 | 0.345 | 0.0205 |-0.0057 |0.0000 |0.0047 |0.0170 |
150.593 | 0.001 | 0.000 | 0.354 | 0.0209 |-0.0059 |0.0000 |0.0048 |0.0174 |
151.261 | 0.001 | 0.000 | 0.364 | 0.0213 |-0.0060 |0.0000 |0.0049 |0.0178 |
151.921 | 0.001 | 0.000 | 0.373 | 0.0218 |-0.0061 |0.0000 |0.0050 |0.0181 |
152.574 | 0.001 | 0.000 | 0.382 | 0.0222 |-0.0062 |0.0000 |0.0051 |0.0185 |
153.220 | 0.001 | 0.000 | 0.391 | 0.0226 |-0.0063 |0.0000 |0.0052 |0.0189 |
153.860 | 0.001 | 0.000 | 0.401 | 0.0230 |-0.0064 |0.0000 |0.0053 |0.0193 |
154.492 | 0.001 | 0.000 | 0.410 | 0.0234 |-0.0065 |0.0000 |0.0054 |0.0196 |
155.118 | 0.001 | 0.000 | 0.420 | 0.0238 |-0.0066 |0.0000 |0.0055 |0.0200 |
155.738 | 0.001 | 0.000 | 0.429 | 0.0242 |-0.0068 |0.0000 |0.0056 |0.0204 |
156.351 | 0.001 | 0.000 | 0.439 | 0.0246 |-0.0069 |0.0000 |0.0057 |0.0207 |
156.959 | 0.001 | 0.000 | 0.448 | 0.0251 |-0.0070 |0.0000 |0.0058 |0.0211 |
157.560 | 0.001 | 0.000 | 0.458 | 0.0255 |-0.0071 |0.0000 |0.0059 |0.0215 |
158.156 | 0.001 | 0.000 | 0.468 | 0.0259 |-0.0072 |0.0000 |0.0060 |0.0219 |
158.746 | 0.001 | 0.000 | 0.477 | 0.0263 |-0.0073 |0.0000 |0.0061 |0.0222 |
159.331 | 0.001 | 0.000 | 0.487 | 0.0267 |-0.0074 |0.0000 |0.0062 |0.0226 |
159.910 | 0.002 | 0.000 | 0.497 | 0.0271 |-0.0075 |0.0000 |0.0063 |0.0230 |
160.484 | 0.002 | 0.000 | 0.507 | 0.0275 |-0.0077 |0.0000 |0.0064 |0.0233 |
161.053 | 0.002 | 0.000 | 0.516 | 0.0279 |-0.0078 |0.0000 |0.0065 |0.0237 |
161.616 | 0.002 | 0.000 | 0.526 | 0.0283 |-0.0079 |0.0000 |0.0066 |0.0241 |
162.175 | 0.002 | 0.000 | 0.536 | 0.0287 |-0.0080 |0.0000 |0.0067 |0.0245 |
162.729 | 0.002 | 0.000 | 0.546 | 0.0292 |-0.0081 |0.0000 |0.0068 |0.0248 |
163.278 | 0.002 | 0.000 | 0.556 | 0.0296 |-0.0082 |0.0000 |0.0069 |0.0252 |
163.822 | 0.002 | 0.000 | 0.566 | 0.0300 |-0.0083 |0.0000 |0.0070 |0.0256 |
164.362 | 0.002 | 0.000 | 0.576 | 0.0304 |-0.0084 |0.0000 |0.0071 |0.0260 |
164.897 | 0.002 | 0.000 | 0.586 | 0.0308 |-0.0086 |0.0000 |0.0073 |0.0263 |
165.428 | 0.002 | 0.000 | 0.596 | 0.0312 |-0.0087 |0.0000 |0.0074 |0.0267 |
165.954 | 0.002 | 0.000 | 0.607 | 0.0316 |-0.0088 |0.0000 |0.0075 |0.0271 |
166.477 | 0.002 | 0.000 | 0.617 | 0.0320 |-0.0089 |0.0000 |0.0076 |0.0274 |
166.995 | 0.002 | 0.000 | 0.627 | 0.0324 |-0.0090 |0.0000 |0.0077 |0.0278 |
167.509 | 0.002 | 0.000 | 0.637 | 0.0328 |-0.0091 |0.0000 |0.0078 |0.0282 |
168.019 | 0.002 | 0.000 | 0.648 | 0.0332 |-0.0092 |0.0000 |0.0079 |0.0285 |
168.525 | 0.003 | 0.000 | 0.658 | 0.0337 |-0.0093 |0.0000 |0.0080 |0.0289 |
169.027 | 0.003 | 0.000 | 0.668 | 0.0341 |-0.0094 |0.0000 |0.0081 |0.0293 |
169.526 | 0.003 | 0.000 | 0.679 | 0.0345 |-0.0096 |0.0000 |0.0082 |0.0297 |
170.020 | 0.003 | 0.000 | 0.689 | 0.0349 |-0.0097 |0.0000 |0.0083 |0.0300 |
170.511 | 0.003 | 0.000 | 0.700 | 0.0353 |-0.0098 |0.0000 |0.0084 |0.0304 |
170.999 | 0.003 | 0.000 | 0.710 | 0.0357 |-0.0099 |0.0000 |0.0085 |0.0308 |
171.483 | 0.003 | 0.000 | 0.721 | 0.0361 |-0.0100 |0.0000 |0.0086 |0.0311 |
171.963 | 0.003 | 0.000 | 0.731 | 0.0365 |-0.0101 |0.0000 |0.0087 |0.0315 |
172.440 | 0.003 | 0.000 | 0.742 | 0.0369 |-0.0102 |0.0000 |0.0088 |0.0319 |
172.914 | 0.003 | 0.000 | 0.752 | 0.0373 |-0.0103 |0.0000 |0.0089 |0.0323 |
173.384 | 0.003 | 0.000 | 0.763 | 0.0377 |-0.0104 |0.0000 |0.0090 |0.0326 |
173.851 | 0.003 | 0.000 | 0.774 | 0.0381 |-0.0106 |0.0000 |0.0091 |0.0330 |
174.315 | 0.004 | 0.000 | 0.784 | 0.0385 |-0.0107 |0.0000 |0.0092 |0.0334 |
174.775 | 0.004 | 0.000 | 0.795 | 0.0389 |-0.0108 |0.0000 |0.0093 |0.0337 |
175.233 | 0.004 | 0.000 | 0.806 | 0.0393 |-0.0109 |0.0000 |0.0094 |0.0341 |
175.687 | 0.004 | 0.000 | 0.816 | 0.0397 |-0.0110 |0.0000 |0.0095 |0.0345 |
176.138 | 0.004 | 0.000 | 0.827 | 0.0402 |-0.0111 |0.0000 |0.0096 |0.0348 |
176.587 | 0.004 | 0.000 | 0.838 | 0.0406 |-0.0112 |0.0000 |0.0097 |0.0352 |
177.032 | 0.004 | 0.000 | 0.849 | 0.0410 |-0.0113 |0.0000 |0.0098 |0.0356 |
177.475 | 0.004 | 0.000 | 0.860 | 0.0414 |-0.0114 |0.0000 |0.0099 |0.0359 |
177.914 | 0.004 | 0.000 | 0.871 | 0.0418 |-0.0115 |0.0000 |0.0101 |0.0363 |
178.351 | 0.004 | 0.000 | 0.882 | 0.0422 |-0.0117 |0.0000 |0.0102 |0.0367 |
178.785 | 0.004 | 0.000 | 0.893 | 0.0426 |-0.0118 |0.0000 |0.0103 |0.0371 |
179.217 | 0.005 | 0.000 | 0.904 | 0.0430 |-0.0119 |0.0000 |0.0104 |0.0374 |
179.646 | 0.005 | 0.000 | 0.915 | 0.0434 |-0.0120 |0.0000 |0.0105 |0.0378 |
180.072 | 0.005 | 0.000 | 0.926 | 0.0438 |-0.0121 |0.0000 |0.0106 |0.0382 |
180.495 | 0.005 | 0.000 | 0.937 | 0.0442 |-0.0122 |0.0000 |0.0107 |0.0385 |
180.916 | 0.005 | 0.000 | 0.948 | 0.0446 |-0.0123 |0.0000 |0.0108 |0.0389 |
