Test angle: 15
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | 0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | 0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | 0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
107.114 | -0.000 | 0.000 | 0.000 | 0.0015 |-0.0005 |0.0000 |-0.0000 |0.0000 |
107.572 | -0.000 | 0.000 | -0.001 | 0.0017 |-0.0005 |0.0000 |-0.0000 |0.0001 |
108.019 | -0.000 | 0.000 | -0.003 | 0.0018 |-0.0006 |0.0000 |-0.0001 |0.0002 |
108.460 | -0.000 | 0.000 | -0.004 | 0.0019 |-0.0006 |0.0000 |-0.0001 |0.0003 |
109.110 | -0.000 | 0.000 | -0.006 | 0.0020 |-0.0006 |0.0000 |-0.0001 |0.0005 |
110.063 | -0.000 | 0.000 | -0.010 | 0.0023 |-0.0007 |0.0000 |-0.0002 |0.0007 |
111.450 | 0.000 | 0.000 | -0.015 | 0.0027 |-0.0008 |0.0000 |-0.0003 |0.0010 |
113.034 | 0.000 | 0.000 | -0.021 | 0.0031 |-0.0009 |0.0000 |-0.0004 |0.0014 |
114.561 | 0.000 | 0.000 | -0.027 | 0.0035 |-0.0010 |0.0000 |-0.0005 |0.0018 |
116.036 | 0.000 | 0.000 | -0.034 | 0.0040 |-0.0012 |0.0000 |-0.0006 |0.0022 |
117.464 | 0.000 | 0.000 | -0.041 | 0.0044 |-0.0013 |0.0000 |-0.0007 |0.0026 |
118.849 | 0.000 | 0.000 | -0.047 | 0.0048 |-0.0014 |0.0000 |-0.0008 |0.0030 |
120.194 | 0.000 | 0.000 | -0.054 | 0.0052 |-0.0015 |0.0000 |-0.0009 |0.0033 |
121.501 | 0.000 | 0.000 | -0.061 | 0.0057 |-0.0016 |0.0000 |-0.0010 |0.0037 |
122.773 | 0.000 | 0.000 | -0.069 | 0.0061 |-0.0017 |0.0000 |-0.0011 |0.0041 |
124.014 | 0.000 | 0.000 | -0.076 | 0.0065 |-0.0018 |0.0000 |-0.0012 |0.0045 |
125.223 | 0.000 | 0.000 | -0.083 | 0.0069 |-0.0019 |0.0000 |-0.0013 |0.0049 |
126.404 | 0.000 | 0.000 | -0.091 | 0.0074 |-0.0021 |0.0000 |-0.0014 |0.0053 |
127.558 | 0.000 | 0.000 | -0.098 | 0.0078 |-0.0022 |0.0000 |-0.0016 |0.0057 |
128.686 | 0.000 | 0.000 | -0.106 | 0.0082 |-0.0023 |0.0000 |-0.0017 |0.0060 |
129.790 | 0.000 | 0.000 | -0.114 | 0.0086 |-0.0024 |0.0000 |-0.0018 |0.0064 |
130.871 | 0.000 | 0.000 | -0.122 | 0.0090 |-0.0025 |0.0000 |-0.0019 |0.0068 |
131.929 | 0.000 | 0.000 | -0.130 | 0.0095 |-0.0026 |0.0000 |-0.0020 |0.0072 |
132.967 | 0.000 | 0.000 | -0.138 | 0.0099 |-0.0027 |0.0000 |-0.0021 |0.0076 |
133.986 | 0.000 | 0.000 | -0.146 | 0.0103 |-0.0028 |0.0000 |-0.0022 |0.0080 |
134.985 | 0.000 | 0.000 | -0.154 | 0.0107 |-0.0029 |0.0000 |-0.0023 |0.0083 |
135.965 | 0.000 | 0.000 | -0.162 | 0.0111 |-0.0031 |0.0000 |-0.0024 |0.0087 |
136.929 | 0.000 | 0.000 | -0.171 | 0.0116 |-0.0032 |0.0000 |-0.0025 |0.0091 |
137.875 | 0.000 | 0.000 | -0.179 | 0.0120 |-0.0033 |0.0000 |-0.0026 |0.0095 |
138.806 | 0.000 | 0.000 | -0.188 | 0.0124 |-0.0034 |0.0000 |-0.0027 |0.0099 |
139.722 | 0.000 | 0.000 | -0.196 | 0.0128 |-0.0035 |0.0000 |-0.0028 |0.0103 |
140.622 | 0.000 | 0.000 | -0.205 | 0.0132 |-0.0036 |0.0000 |-0.0029 |0.0107 |
141.508 | 0.000 | 0.000 | -0.213 | 0.0136 |-0.0037 |0.0000 |-0.0030 |0.0110 |
142.381 | 0.000 | 0.000 | -0.222 | 0.0141 |-0.0038 |0.0000 |-0.0032 |0.0114 |
143.241 | 0.000 | 0.000 | -0.231 | 0.0145 |-0.0039 |0.0000 |-0.0033 |0.0118 |
144.087 | 0.000 | 0.000 | -0.240 | 0.0149 |-0.0041 |0.0000 |-0.0034 |0.0122 |
144.922 | 0.000 | 0.000 | -0.249 | 0.0153 |-0.0042 |0.0000 |-0.0035 |0.0126 |
145.744 | 0.000 | 0.000 | -0.258 | 0.0157 |-0.0043 |0.0000 |-0.0036 |0.0130 |
146.555 | 0.000 | 0.000 | -0.267 | 0.0161 |-0.0044 |0.0000 |-0.0037 |0.0133 |
147.355 | 0.001 | 0.000 | -0.276 | 0.0166 |-0.0045 |0.0000 |-0.0038 |0.0137 |
148.144 | 0.001 | 0.000 | -0.286 | 0.0170 |-0.0046 |0.0000 |-0.0039 |0.0141 |
148.923 | 0.001 | 0.000 | -0.295 | 0.0174 |-0.0047 |0.0000 |-0.0040 |0.0145 |
149.691 | 0.001 | 0.000 | -0.304 | 0.0178 |-0.0048 |0.0000 |-0.0041 |0.0149 |
150.450 | 0.001 | 0.000 | -0.314 | 0.0182 |-0.0049 |0.0000 |-0.0042 |0.0153 |
151.199 | 0.001 | 0.000 | -0.323 | 0.0186 |-0.0050 |0.0000 |-0.0043 |0.0156 |
151.939 | 0.001 | 0.000 | -0.333 | 0.0190 |-0.0051 |0.0000 |-0.0044 |0.0160 |
152.670 | 0.001 | 0.000 | -0.342 | 0.0195 |-0.0053 |0.0000 |-0.0045 |0.0164 |
153.393 | 0.001 | 0.000 | -0.352 | 0.0199 |-0.0054 |0.0000 |-0.0046 |0.0168 |
154.107 | 0.001 | 0.000 | -0.362 | 0.0203 |-0.0055 |0.0000 |-0.0048 |0.0172 |
154.812 | 0.001 | 0.000 | -0.371 | 0.0207 |-0.0056 |0.0000 |-0.0049 |0.0175 |
155.510 | 0.001 | 0.000 | -0.381 | 0.0211 |-0.0057 |0.0000 |-0.0050 |0.0179 |
156.200 | 0.001 | 0.000 | -0.391 | 0.0215 |-0.0058 |0.0000 |-0.0051 |0.0183 |
156.882 | 0.001 | 0.000 | -0.401 | 0.0219 |-0.0059 |0.0000 |-0.0052 |0.0187 |
157.557 | 0.001 | 0.000 | -0.411 | 0.0223 |-0.0060 |0.0000 |-0.0053 |0.0191 |
158.224 | 0.001 | 0.000 | -0.421 | 0.0228 |-0.0061 |0.0000 |-0.0054 |0.0195 |
158.885 | 0.001 | 0.000 | -0.431 | 0.0232 |-0.0062 |0.0000 |-0.0055 |0.0198 |
159.538 | 0.001 | 0.000 | -0.441 | 0.0236 |-0.0063 |0.0000 |-0.0056 |0.0202 |
160.185 | 0.001 | 0.000 | -0.451 | 0.0240 |-0.0065 |0.0000 |-0.0057 |0.0206 |
160.825 | 0.001 | 0.000 | -0.461 | 0.0244 |-0.0066 |0.0000 |-0.0058 |0.0210 |
161.459 | 0.001 | 0.000 | -0.471 | 0.0248 |-0.0067 |0.0000 |-0.0059 |0.0214 |
162.087 | 0.001 | 0.000 | -0.482 | 0.0252 |-0.0068 |0.0000 |-0.0060 |0.0217 |
162.708 | 0.001 | 0.000 | -0.492 | 0.0256 |-0.0069 |0.0000 |-0.0061 |0.0221 |
163.324 | 0.002 | 0.000 | -0.502 | 0.0260 |-0.0070 |0.0000 |-0.0063 |0.0225 |
163.934 | 0.002 | 0.000 | -0.513 | 0.0264 |-0.0071 |0.0000 |-0.0064 |0.0229 |
164.538 | 0.002 | 0.000 | -0.523 | 0.0269 |-0.0072 |0.0000 |-0.0065 |0.0233 |
165.136 | 0.002 | 0.000 | -0.533 | 0.0273 |-0.0073 |0.0000 |-0.0066 |0.0237 |
165.729 | 0.002 | 0.000 | -0.544 | 0.0277 |-0.0074 |0.0000 |-0.0067 |0.0240 |
166.317 | 0.002 | 0.000 | -0.555 | 0.0281 |-0.0075 |0.0000 |-0.0068 |0.0244 |
166.899 | 0.002 | 0.000 | -0.565 | 0.0285 |-0.0076 |0.0000 |-0.0069 |0.0248 |
167.476 | 0.002 | 0.000 | -0.576 | 0.0289 |-0.0078 |0.0000 |-0.0070 |0.0252 |
168.049 | 0.002 | 0.000 | -0.586 | 0.0293 |-0.0079 |0.0000 |-0.0071 |0.0256 |
168.616 | 0.002 | 0.000 | -0.597 | 0.0297 |-0.0080 |0.0000 |-0.0072 |0.0259 |
169.178 | 0.002 | 0.000 | -0.608 | 0.0301 |-0.0081 |0.0000 |-0.0073 |0.0263 |
169.736 | 0.002 | 0.000 | -0.619 | 0.0305 |-0.0082 |0.0000 |-0.0074 |0.0267 |
170.289 | 0.002 | 0.000 | -0.629 | 0.0309 |-0.0083 |0.0000 |-0.0075 |0.0271 |
170.837 | 0.002 | 0.000 | -0.640 | 0.0314 |-0.0084 |0.0000 |-0.0076 |0.0275 |
171.381 | 0.002 | 0.000 | -0.651 | 0.0318 |-0.0085 |0.0000 |-0.0078 |0.0278 |
171.921 | 0.003 | 0.000 | -0.662 | 0.0322 |-0.0086 |0.0000 |-0.0079 |0.0282 |
172.457 | 0.003 | 0.000 | -0.673 | 0.0326 |-0.0087 |0.0000 |-0.0080 |0.0286 |
172.988 | 0.003 | 0.000 | -0.684 | 0.0330 |-0.0088 |0.0000 |-0.0081 |0.0290 |
173.515 | 0.003 | 0.000 | -0.695 | 0.0334 |-0.0089 |0.0000 |-0.0082 |0.0294 |
174.038 | 0.003 | 0.000 | -0.706 | 0.0338 |-0.0090 |0.0000 |-0.0083 |0.0297 |
174.557 | 0.003 | 0.000 | -0.717 | 0.0342 |-0.0091 |0.0000 |-0.0084 |0.0301 |
175.072 | 0.003 | 0.000 | -0.728 | 0.0346 |-0.0093 |0.0000 |-0.0085 |0.0305 |
175.583 | 0.003 | 0.000 | -0.740 | 0.0350 |-0.0094 |0.0000 |-0.0086 |0.0309 |
176.090 | 0.003 | 0.000 | -0.751 | 0.0354 |-0.0095 |0.0000 |-0.0087 |0.0313 |
176.594 | 0.003 | 0.000 | -0.762 | 0.0358 |-0.0096 |0.0000 |-0.0088 |0.0316 |
177.093 | 0.003 | 0.000 | -0.773 | 0.0362 |-0.0097 |0.0000 |-0.0089 |0.0320 |
177.590 | 0.003 | 0.000 | -0.785 | 0.0366 |-0.0098 |0.0000 |-0.0090 |0.0324 |
178.082 | 0.004 | 0.000 | -0.796 | 0.0371 |-0.0099 |0.0000 |-0.0092 |0.0328 |
178.572 | 0.004 | 0.000 | -0.807 | 0.0375 |-0.0100 |0.0000 |-0.0093 |0.0331 |
179.057 | 0.004 | 0.000 | -0.819 | 0.0379 |-0.0101 |0.0000 |-0.0094 |0.0335 |
179.540 | 0.004 | 0.000 | -0.830 | 0.0383 |-0.0102 |0.0000 |-0.0095 |0.0339 |
180.019 | 0.004 | 0.000 | -0.842 | 0.0387 |-0.0103 |0.0000 |-0.0096 |0.0343 |
180.495 | 0.004 | 0.000 | -0.853 | 0.0391 |-0.0104 |0.0000 |-0.0097 |0.0347 |
180.967 | 0.004 | 0.000 | -0.865 | 0.0395 |-0.0105 |0.0000 |-0.0098 |0.0350 |
181.437 | 0.004 | 0.000 | -0.876 | 0.0399 |-0.0106 |0.0000 |-0.0099 |0.0354 |
181.903 | 0.004 | 0.000 | -0.888 | 0.0403 |-0.0107 |0.0000 |-0.0100 |0.0358 |
182.367 | 0.004 | 0.000 | -0.899 | 0.0407 |-0.0109 |0.0000 |-0.0101 |0.0362 |
182.827 | 0.005 | 0.000 | -0.911 | 0.0411 |-0.0110 |0.0000 |-0.0102 |0.0366 |
183.284 | 0.005 | 0.000 | -0.923 | 0.0415 |-0.0111 |0.0000 |-0.0103 |0.0369 |
183.738 | 0.005 | 0.000 | -0.934 | 0.0419 |-0.0112 |0.0000 |-0.0104 |0.0373 |
184.190 | 0.005 | 0.000 | -0.946 | 0.0423 |-0.0113 |0.0000 |-0.0106 |0.0377 |
184.638 | 0.005 | 0.000 | -0.958 | 0.0427 |-0.0114 |0.0000 |-0.0107 |0.0381 |
185.084 | 0.005 | 0.000 | -0.970 | 0.0431 |-0.0115 |0.0000 |-0.0108 |0.0384 |
