Test angle: 90
Node_A_151 coordinates: initialX | initialY | initialZ 
75.0000 | 0.0000 | 0.0000 | 
Node_B_1051 coordinates: initialX | initialY | initialZ 
-75.0000 | 0.0000 | 0.0000 | 
Node_C_606 coordinates: initialX | initialY | initialZ 
0.0000 | 5.0000 | 0.0000 | 
Node_D_1256 coordinates: initialX | initialY | initialZ 
0.0000 | -5.0000 | 0.0000 | 
  UA1  |  UA2  |  UA3 | UB1 | UB2 | UB3 | UC1 | UC2 | UC3 | UD1 | UD2 | UD3 
1.9325 | -0.0043 | -0.0000 | 0.3563 | -0.0042 | 0.0000 | 1.1444 | -0.0234 | 0.0000 | 1.1444 | 0.0149 | -0.0000 | 
2.0094 | -0.0044 | 0.0000 | 0.3699 | -0.0042 | -0.0000 | 1.1896 | -0.0242 | 0.0000 | 1.1896 | 0.0156 | -0.0000 | 
2.0862 | -0.0044 | 0.0000 | 0.3836 | -0.0043 | 0.0000 | 1.2349 | -0.0250 | 0.0000 | 1.2349 | 0.0163 | -0.0000 | 
2.1630 | -0.0044 | 0.0000 | 0.3973 | -0.0043 | 0.0000 | 1.2802 | -0.0258 | 0.0000 | 1.2802 | 0.0171 | -0.0000 | 
2.2398 | -0.0045 | 0.0000 | 0.4111 | -0.0043 | -0.0000 | 1.3255 | -0.0266 | 0.0000 | 1.3254 | 0.0178 | -0.0000 | 
2.3166 | -0.0045 | -0.0000 | 0.4248 | -0.0043 | -0.0000 | 1.3707 | -0.0274 | 0.0000 | 1.3707 | 0.0186 | -0.0000 | 
2.3934 | -0.0045 | 0.0000 | 0.4385 | -0.0044 | 0.0000 | 1.4159 | -0.0282 | 0.0000 | 1.4159 | 0.0193 | -0.0000 | 
2.4701 | -0.0046 | 0.0000 | 0.4522 | -0.0044 | 0.0000 | 1.4612 | -0.0290 | 0.0000 | 1.4612 | 0.0201 | -0.0000 | 
2.5469 | -0.0046 | 0.0000 | 0.4660 | -0.0044 | 0.0000 | 1.5065 | -0.0298 | 0.0000 | 1.5065 | 0.0208 | -0.0000 | 
2.6237 | -0.0046 | 0.0000 | 0.4798 | -0.0044 | 0.0000 | 1.5517 | -0.0306 | 0.0000 | 1.5517 | 0.0216 | -0.0000 | 
2.7004 | -0.0047 | -0.0000 | 0.4936 | -0.0045 | 0.0000 | 1.5970 | -0.0314 | 0.0000 | 1.5970 | 0.0223 | -0.0000 | 
2.7771 | -0.0047 | -0.0000 | 0.5073 | -0.0045 | 0.0000 | 1.6422 | -0.0322 | 0.0000 | 1.6422 | 0.0230 | -0.0000 | 
2.8538 | -0.0047 | 0.0000 | 0.5211 | -0.0045 | 0.0000 | 1.6875 | -0.0330 | 0.0000 | 1.6875 | 0.0238 | -0.0000 | 
2.9306 | -0.0047 | 0.0000 | 0.5349 | -0.0045 | 0.0000 | 1.7327 | -0.0338 | 0.0000 | 1.7327 | 0.0245 | -0.0000 | 
3.0073 | -0.0048 | -0.0000 | 0.5487 | -0.0045 | -0.0000 | 1.7780 | -0.0346 | 0.0000 | 1.7780 | 0.0253 | -0.0000 | 
3.0840 | -0.0048 | -0.0000 | 0.5625 | -0.0046 | 0.0000 | 1.8233 | -0.0354 | 0.0000 | 1.8233 | 0.0260 | -0.0000 | 
3.1607 | -0.0048 | 0.0000 | 0.5764 | -0.0046 | -0.0000 | 1.8685 | -0.0362 | 0.0000 | 1.8685 | 0.0267 | -0.0000 | 
3.2374 | -0.0049 | -0.0000 | 0.5902 | -0.0046 | 0.0000 | 1.9138 | -0.0370 | 0.0000 | 1.9138 | 0.0275 | -0.0000 | 
3.3141 | -0.0049 | -0.0000 | 0.6040 | -0.0046 | 0.0000 | 1.9591 | -0.0378 | 0.0000 | 1.9590 | 0.0282 | -0.0000 | 
3.3907 | -0.0049 | -0.0000 | 0.6178 | -0.0047 | 0.0000 | 2.0043 | -0.0385 | 0.0000 | 2.0043 | 0.0290 | -0.0000 | 
3.4674 | -0.0049 | 0.0000 | 0.6317 | -0.0047 | 0.0000 | 2.0495 | -0.0393 | 0.0000 | 2.0495 | 0.0297 | -0.0000 | 
3.5441 | -0.0049 | -0.0000 | 0.6455 | -0.0047 | 0.0000 | 2.0948 | -0.0401 | 0.0000 | 2.0948 | 0.0305 | -0.0000 | 
3.6207 | -0.0050 | -0.0000 | 0.6593 | -0.0047 | 0.0000 | 2.1400 | -0.0409 | 0.0000 | 2.1400 | 0.0312 | -0.0000 | 
3.6974 | -0.0050 | -0.0000 | 0.6732 | -0.0047 | -0.0000 | 2.1853 | -0.0416 | 0.0000 | 2.1853 | 0.0320 | -0.0000 | 
