Test angle: 75
Node_A_151 coordinates: initialX | initialY | initialZ 
75.0000 | 0.0000 | 0.0000 | 
Node_B_1051 coordinates: initialX | initialY | initialZ 
-75.0000 | 0.0000 | 0.0000 | 
Node_C_606 coordinates: initialX | initialY | initialZ 
0.0000 | 5.0000 | 0.0000 | 
Node_D_1256 coordinates: initialX | initialY | initialZ 
0.0000 | -5.0000 | 0.0000 | 
  UA1  |  UA2  |  UA3 | UB1 | UB2 | UB3 | UC1 | UC2 | UC3 | UD1 | UD2 | UD3 
1.7858 | -0.0339 | 0.0000 | 0.3248 | 0.0260 | -0.0000 | 1.0678 | -0.0175 | -0.0000 | 1.0428 | 0.0096 | 0.0000 | 
1.8629 | -0.0351 | -0.0000 | 0.3382 | 0.0271 | -0.0000 | 1.1137 | -0.0182 | -0.0000 | 1.0874 | 0.0101 | 0.0000 | 
1.9400 | -0.0363 | -0.0000 | 0.3516 | 0.0281 | 0.0000 | 1.1596 | -0.0188 | -0.0000 | 1.1321 | 0.0106 | 0.0000 | 
2.0171 | -0.0375 | 0.0000 | 0.3651 | 0.0293 | -0.0000 | 1.2054 | -0.0194 | -0.0000 | 1.1767 | 0.0112 | 0.0000 | 
2.0941 | -0.0386 | -0.0000 | 0.3785 | 0.0304 | -0.0000 | 1.2513 | -0.0199 | -0.0000 | 1.2214 | 0.0118 | 0.0000 | 
2.1712 | -0.0396 | -0.0000 | 0.3920 | 0.0315 | -0.0000 | 1.2971 | -0.0204 | -0.0000 | 1.2660 | 0.0124 | 0.0000 | 
2.2482 | -0.0408 | -0.0000 | 0.4055 | 0.0325 | 0.0000 | 1.3430 | -0.0211 | -0.0000 | 1.3107 | 0.0129 | 0.0000 | 
2.3252 | -0.0419 | -0.0000 | 0.4190 | 0.0335 | -0.0000 | 1.3889 | -0.0217 | -0.0000 | 1.3554 | 0.0133 | 0.0000 | 
2.4023 | -0.0430 | 0.0000 | 0.4325 | 0.0345 | 0.0000 | 1.4347 | -0.0223 | -0.0000 | 1.4000 | 0.0138 | 0.0000 | 
2.4793 | -0.0440 | -0.0000 | 0.4460 | 0.0354 | 0.0000 | 1.4806 | -0.0229 | -0.0000 | 1.4447 | 0.0144 | 0.0000 | 
2.5563 | -0.0449 | 0.0000 | 0.4595 | 0.0365 | -0.0000 | 1.5264 | -0.0235 | -0.0000 | 1.4893 | 0.0150 | 0.0000 | 
