Test angle: 60
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | 0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | 0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | -0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
101.730 | 0.000 | 0.000 | -0.000 | 0.0016 |-0.0005 |0.0000 |-0.0000 |0.0001 |
102.134 | -0.000 | 0.000 | -0.000 | 0.0017 |-0.0005 |0.0000 |-0.0000 |0.0002 |
102.533 | 0.000 | 0.000 | -0.000 | 0.0018 |-0.0006 |0.0000 |-0.0000 |0.0003 |
103.122 | 0.000 | 0.000 | -0.000 | 0.0019 |-0.0006 |0.0000 |-0.0000 |0.0004 |
103.985 | -0.000 | 0.000 | -0.000 | 0.0022 |-0.0007 |0.0000 |-0.0000 |0.0006 |
105.242 | 0.000 | 0.000 | -0.001 | 0.0026 |-0.0007 |0.0000 |-0.0000 |0.0010 |
106.680 | -0.000 | 0.000 | -0.001 | 0.0030 |-0.0009 |0.0000 |-0.0000 |0.0013 |
108.068 | 0.000 | 0.000 | -0.001 | 0.0034 |-0.0010 |0.0000 |-0.0000 |0.0017 |
109.408 | 0.000 | 0.000 | -0.001 | 0.0039 |-0.0011 |0.0000 |-0.0000 |0.0021 |
110.709 | 0.000 | 0.000 | -0.001 | 0.0043 |-0.0012 |0.0000 |-0.0000 |0.0024 |
111.969 | 0.000 | 0.000 | -0.002 | 0.0047 |-0.0013 |0.0000 |-0.0000 |0.0028 |
113.196 | 0.000 | 0.000 | -0.002 | 0.0051 |-0.0014 |0.0000 |-0.0000 |0.0032 |
114.388 | 0.000 | 0.000 | -0.002 | 0.0056 |-0.0015 |0.0000 |-0.0000 |0.0035 |
115.550 | -0.000 | 0.000 | -0.002 | 0.0060 |-0.0016 |0.0000 |-0.0000 |0.0039 |
116.683 | 0.000 | 0.000 | -0.003 | 0.0064 |-0.0017 |0.0000 |-0.0000 |0.0043 |
117.789 | -0.000 | 0.000 | -0.003 | 0.0068 |-0.0018 |0.0000 |-0.0000 |0.0046 |
118.869 | -0.000 | 0.000 | -0.003 | 0.0073 |-0.0019 |0.0000 |-0.0001 |0.0050 |
119.925 | 0.000 | 0.000 | -0.003 | 0.0077 |-0.0020 |0.0000 |-0.0001 |0.0054 |
120.959 | -0.000 | 0.000 | -0.004 | 0.0081 |-0.0021 |0.0000 |-0.0001 |0.0057 |
121.970 | -0.000 | 0.000 | -0.004 | 0.0085 |-0.0022 |0.0000 |-0.0001 |0.0061 |
122.961 | -0.000 | 0.000 | -0.004 | 0.0090 |-0.0023 |0.0000 |-0.0001 |0.0065 |
123.932 | -0.000 | 0.000 | -0.004 | 0.0094 |-0.0024 |0.0000 |-0.0001 |0.0068 |
124.885 | 0.000 | 0.000 | -0.005 | 0.0098 |-0.0025 |0.0000 |-0.0001 |0.0072 |
125.820 | 0.000 | 0.000 | -0.005 | 0.0102 |-0.0026 |0.0000 |-0.0001 |0.0076 |
126.737 | -0.000 | 0.000 | -0.005 | 0.0106 |-0.0027 |0.0000 |-0.0001 |0.0079 |
127.638 | -0.000 | 0.000 | -0.005 | 0.0111 |-0.0028 |0.0000 |-0.0001 |0.0083 |
128.524 | -0.000 | 0.000 | -0.006 | 0.0115 |-0.0029 |0.0000 |-0.0001 |0.0087 |
129.394 | 0.000 | 0.000 | -0.006 | 0.0119 |-0.0030 |0.0000 |-0.0001 |0.0090 |
130.250 | -0.000 | 0.000 | -0.006 | 0.0123 |-0.0031 |0.0000 |-0.0001 |0.0094 |
131.093 | -0.000 | 0.000 | -0.007 | 0.0127 |-0.0032 |0.0000 |-0.0001 |0.0098 |
131.922 | -0.000 | 0.000 | -0.007 | 0.0132 |-0.0033 |0.0000 |-0.0001 |0.0101 |
132.738 | 0.000 | 0.000 | -0.007 | 0.0136 |-0.0034 |0.0000 |-0.0001 |0.0105 |
133.542 | 0.000 | 0.000 | -0.007 | 0.0140 |-0.0035 |0.0000 |-0.0001 |0.0109 |
134.334 | 0.000 | 0.000 | -0.008 | 0.0144 |-0.0036 |0.0000 |-0.0001 |0.0112 |
135.114 | 0.000 | 0.000 | -0.008 | 0.0148 |-0.0037 |0.0000 |-0.0001 |0.0116 |
135.883 | 0.000 | 0.000 | -0.008 | 0.0152 |-0.0038 |0.0000 |-0.0001 |0.0119 |
136.642 | 0.000 | 0.000 | -0.009 | 0.0156 |-0.0039 |0.0000 |-0.0001 |0.0123 |
137.390 | -0.000 | 0.000 | -0.009 | 0.0161 |-0.0040 |0.0000 |-0.0001 |0.0127 |
138.128 | 0.000 | 0.000 | -0.009 | 0.0165 |-0.0041 |0.0000 |-0.0001 |0.0130 |
138.856 | 0.000 | 0.000 | -0.010 | 0.0169 |-0.0042 |0.0000 |-0.0001 |0.0134 |
139.575 | -0.000 | 0.000 | -0.010 | 0.0173 |-0.0043 |0.0000 |-0.0001 |0.0138 |
140.285 | -0.000 | 0.000 | -0.010 | 0.0177 |-0.0044 |0.0000 |-0.0001 |0.0141 |
140.986 | 0.000 | 0.000 | -0.010 | 0.0181 |-0.0045 |0.0000 |-0.0002 |0.0145 |
141.678 | 0.000 | 0.000 | -0.011 | 0.0186 |-0.0046 |0.0000 |-0.0002 |0.0149 |
142.362 | -0.000 | 0.000 | -0.011 | 0.0190 |-0.0047 |0.0000 |-0.0002 |0.0152 |
143.037 | 0.000 | 0.000 | -0.011 | 0.0194 |-0.0048 |0.0000 |-0.0002 |0.0156 |
143.705 | -0.000 | 0.000 | -0.012 | 0.0198 |-0.0049 |0.0000 |-0.0002 |0.0159 |
144.365 | 0.000 | 0.000 | -0.012 | 0.0202 |-0.0050 |0.0000 |-0.0002 |0.0163 |
145.018 | 0.000 | 0.000 | -0.012 | 0.0206 |-0.0051 |0.0000 |-0.0002 |0.0167 |
145.663 | -0.000 | 0.000 | -0.013 | 0.0210 |-0.0052 |0.0000 |-0.0002 |0.0170 |
146.301 | 0.000 | 0.000 | -0.013 | 0.0214 |-0.0053 |0.0000 |-0.0002 |0.0174 |
146.932 | -0.000 | 0.000 | -0.013 | 0.0219 |-0.0054 |0.0000 |-0.0002 |0.0178 |
147.557 | 0.000 | 0.000 | -0.014 | 0.0223 |-0.0055 |0.0000 |-0.0002 |0.0181 |
148.175 | -0.000 | 0.000 | -0.014 | 0.0227 |-0.0056 |0.0000 |-0.0002 |0.0185 |
148.787 | 0.000 | 0.000 | -0.014 | 0.0231 |-0.0057 |0.0000 |-0.0002 |0.0188 |
149.392 | 0.000 | 0.000 | -0.015 | 0.0235 |-0.0058 |0.0000 |-0.0002 |0.0192 |
149.991 | 0.000 | 0.000 | -0.015 | 0.0239 |-0.0059 |0.0000 |-0.0002 |0.0196 |
150.584 | -0.000 | 0.000 | -0.015 | 0.0243 |-0.0060 |0.0000 |-0.0002 |0.0199 |
151.172 | -0.000 | 0.000 | -0.016 | 0.0247 |-0.0061 |0.0000 |-0.0002 |0.0203 |
151.753 | 0.000 | 0.000 | -0.016 | 0.0252 |-0.0062 |0.0000 |-0.0002 |0.0207 |
152.329 | 0.000 | 0.000 | -0.016 | 0.0256 |-0.0063 |0.0000 |-0.0002 |0.0210 |
152.900 | 0.000 | 0.000 | -0.017 | 0.0260 |-0.0064 |0.0000 |-0.0002 |0.0214 |
153.465 | 0.000 | 0.000 | -0.017 | 0.0264 |-0.0065 |0.0000 |-0.0002 |0.0217 |
154.026 | 0.000 | 0.000 | -0.017 | 0.0268 |-0.0066 |0.0000 |-0.0002 |0.0221 |
154.581 | 0.000 | 0.000 | -0.018 | 0.0272 |-0.0067 |0.0000 |-0.0002 |0.0225 |
155.131 | 0.000 | 0.000 | -0.018 | 0.0276 |-0.0068 |0.0000 |-0.0002 |0.0228 |
155.676 | 0.000 | 0.000 | -0.018 | 0.0280 |-0.0069 |0.0000 |-0.0002 |0.0232 |
156.217 | 0.000 | 0.000 | -0.019 | 0.0284 |-0.0070 |0.0000 |-0.0002 |0.0235 |
156.752 | -0.000 | 0.000 | -0.019 | 0.0288 |-0.0071 |0.0000 |-0.0002 |0.0239 |
157.284 | 0.000 | 0.000 | -0.020 | 0.0293 |-0.0072 |0.0000 |-0.0003 |0.0243 |
157.810 | 0.000 | 0.000 | -0.020 | 0.0297 |-0.0073 |0.0000 |-0.0003 |0.0246 |
158.332 | 0.000 | 0.000 | -0.020 | 0.0301 |-0.0074 |0.0000 |-0.0003 |0.0250 |
158.850 | 0.000 | 0.000 | -0.021 | 0.0305 |-0.0075 |0.0000 |-0.0003 |0.0253 |
159.364 | 0.000 | 0.000 | -0.021 | 0.0309 |-0.0076 |0.0000 |-0.0003 |0.0257 |
159.873 | 0.000 | 0.000 | -0.021 | 0.0313 |-0.0076 |0.0000 |-0.0003 |0.0261 |
160.379 | 0.000 | 0.000 | -0.022 | 0.0317 |-0.0077 |0.0000 |-0.0003 |0.0264 |
160.880 | 0.000 | 0.000 | -0.022 | 0.0321 |-0.0078 |0.0000 |-0.0003 |0.0268 |
161.378 | 0.000 | 0.000 | -0.022 | 0.0325 |-0.0079 |0.0000 |-0.0003 |0.0271 |
161.871 | 0.000 | 0.000 | -0.023 | 0.0329 |-0.0080 |0.0000 |-0.0003 |0.0275 |
162.361 | 0.000 | 0.000 | -0.023 | 0.0333 |-0.0081 |0.0000 |-0.0003 |0.0279 |
162.847 | -0.000 | 0.000 | -0.023 | 0.0337 |-0.0082 |0.0000 |-0.0003 |0.0282 |
163.330 | 0.000 | 0.000 | -0.024 | 0.0341 |-0.0083 |0.0000 |-0.0003 |0.0286 |
163.809 | 0.000 | 0.000 | -0.024 | 0.0346 |-0.0084 |0.0000 |-0.0003 |0.0289 |
164.284 | 0.000 | 0.000 | -0.025 | 0.0350 |-0.0085 |0.0000 |-0.0003 |0.0293 |
164.756 | 0.000 | 0.000 | -0.025 | 0.0354 |-0.0086 |0.0000 |-0.0003 |0.0297 |
165.225 | 0.000 | 0.000 | -0.025 | 0.0358 |-0.0087 |0.0000 |-0.0003 |0.0300 |
165.690 | 0.000 | 0.000 | -0.026 | 0.0362 |-0.0088 |0.0000 |-0.0003 |0.0304 |
166.151 | 0.000 | 0.000 | -0.026 | 0.0366 |-0.0089 |0.0000 |-0.0003 |0.0307 |
166.610 | 0.000 | 0.000 | -0.026 | 0.0370 |-0.0090 |0.0000 |-0.0003 |0.0311 |
167.065 | 0.000 | 0.000 | -0.027 | 0.0374 |-0.0091 |0.0000 |-0.0003 |0.0315 |
167.517 | 0.000 | 0.000 | -0.027 | 0.0378 |-0.0092 |0.0000 |-0.0003 |0.0318 |
167.967 | 0.000 | 0.000 | -0.028 | 0.0382 |-0.0093 |0.0000 |-0.0003 |0.0322 |
168.413 | 0.000 | 0.000 | -0.028 | 0.0386 |-0.0094 |0.0000 |-0.0003 |0.0325 |
168.856 | 0.000 | 0.000 | -0.028 | 0.0390 |-0.0095 |0.0000 |-0.0003 |0.0329 |
169.296 | 0.000 | 0.000 | -0.029 | 0.0394 |-0.0096 |0.0000 |-0.0003 |0.0333 |
169.733 | 0.000 | 0.000 | -0.029 | 0.0398 |-0.0097 |0.0000 |-0.0004 |0.0336 |
170.167 | 0.000 | 0.000 | -0.029 | 0.0402 |-0.0098 |0.0000 |-0.0004 |0.0340 |
170.599 | 0.000 | 0.000 | -0.030 | 0.0406 |-0.0099 |0.0000 |-0.0004 |0.0343 |
171.028 | 0.000 | 0.000 | -0.030 | 0.0411 |-0.0100 |0.0000 |-0.0004 |0.0347 |
171.454 | 0.000 | 0.000 | -0.031 | 0.0415 |-0.0101 |0.0000 |-0.0004 |0.0350 |
171.877 | 0.000 | 0.000 | -0.031 | 0.0419 |-0.0102 |0.0000 |-0.0004 |0.0354 |
172.298 | 0.000 | 0.000 | -0.031 | 0.0423 |-0.0103 |0.0000 |-0.0004 |0.0358 |
172.716 | 0.000 | 0.000 | -0.032 | 0.0427 |-0.0104 |0.0000 |-0.0004 |0.0361 |
173.131 | 0.000 | 0.000 | -0.032 | 0.0431 |-0.0105 |0.0000 |-0.0004 |0.0365 |
173.544 | 0.000 | 0.000 | -0.033 | 0.0435 |-0.0106 |0.0000 |-0.0004 |0.0368 |
