Test angle: 60
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | 0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | 0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | -0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
101.812 | 0.000 | 0.000 | -0.000 | 0.0016 |-0.0005 |0.0000 |-0.0000 |0.0001 |
103.401 | 0.000 | 0.000 | -0.001 | 0.0020 |-0.0006 |0.0000 |-0.0000 |0.0005 |
104.916 | -0.000 | 0.000 | -0.001 | 0.0024 |-0.0007 |0.0000 |-0.0000 |0.0008 |
106.371 | 0.000 | 0.000 | -0.001 | 0.0029 |-0.0008 |0.0000 |-0.0000 |0.0012 |
107.775 | 0.000 | 0.000 | -0.002 | 0.0033 |-0.0009 |0.0000 |-0.0000 |0.0016 |
109.130 | -0.000 | 0.000 | -0.002 | 0.0037 |-0.0010 |0.0000 |-0.0000 |0.0020 |
110.443 | 0.000 | 0.000 | -0.003 | 0.0042 |-0.0011 |0.0000 |-0.0000 |0.0023 |
111.717 | 0.000 | 0.000 | -0.003 | 0.0046 |-0.0012 |0.0000 |-0.0001 |0.0027 |
112.954 | -0.000 | 0.000 | -0.004 | 0.0050 |-0.0013 |0.0000 |-0.0001 |0.0031 |
114.158 | 0.000 | 0.000 | -0.004 | 0.0055 |-0.0015 |0.0000 |-0.0001 |0.0034 |
115.330 | -0.000 | 0.000 | -0.005 | 0.0059 |-0.0016 |0.0000 |-0.0001 |0.0038 |
116.473 | -0.000 | 0.000 | -0.005 | 0.0063 |-0.0017 |0.0000 |-0.0001 |0.0042 |
117.588 | 0.000 | 0.000 | -0.006 | 0.0067 |-0.0018 |0.0000 |-0.0001 |0.0045 |
118.676 | 0.000 | 0.000 | -0.006 | 0.0072 |-0.0019 |0.0000 |-0.0001 |0.0049 |
119.740 | 0.000 | 0.000 | -0.007 | 0.0076 |-0.0020 |0.0000 |-0.0001 |0.0053 |
120.782 | 0.000 | 0.000 | -0.007 | 0.0080 |-0.0021 |0.0000 |-0.0001 |0.0056 |
121.800 | -0.000 | 0.000 | -0.008 | 0.0084 |-0.0022 |0.0000 |-0.0001 |0.0060 |
122.799 | 0.000 | 0.000 | -0.008 | 0.0088 |-0.0023 |0.0000 |-0.0001 |0.0064 |
123.776 | 0.000 | 0.000 | -0.009 | 0.0093 |-0.0024 |0.0000 |-0.0001 |0.0067 |
124.735 | 0.000 | 0.000 | -0.009 | 0.0097 |-0.0025 |0.0000 |-0.0002 |0.0071 |
125.676 | 0.000 | 0.000 | -0.010 | 0.0101 |-0.0026 |0.0000 |-0.0002 |0.0075 |
126.600 | 0.000 | 0.000 | -0.010 | 0.0105 |-0.0027 |0.0000 |-0.0002 |0.0078 |
127.507 | 0.000 | 0.000 | -0.011 | 0.0109 |-0.0028 |0.0000 |-0.0002 |0.0082 |
128.398 | 0.000 | 0.000 | -0.012 | 0.0114 |-0.0029 |0.0000 |-0.0002 |0.0086 |
129.274 | -0.000 | 0.000 | -0.012 | 0.0118 |-0.0030 |0.0000 |-0.0002 |0.0089 |
130.135 | 0.000 | 0.000 | -0.013 | 0.0122 |-0.0031 |0.0000 |-0.0002 |0.0093 |
130.982 | 0.000 | 0.000 | -0.013 | 0.0126 |-0.0032 |0.0000 |-0.0002 |0.0097 |
131.816 | 0.000 | 0.000 | -0.014 | 0.0130 |-0.0033 |0.0000 |-0.0002 |0.0100 |
132.637 | 0.000 | 0.000 | -0.015 | 0.0134 |-0.0034 |0.0000 |-0.0002 |0.0104 |
133.445 | -0.000 | 0.000 | -0.015 | 0.0139 |-0.0035 |0.0000 |-0.0002 |0.0108 |
134.241 | 0.000 | 0.000 | -0.016 | 0.0143 |-0.0036 |0.0000 |-0.0002 |0.0111 |
135.026 | 0.000 | 0.000 | -0.016 | 0.0147 |-0.0037 |0.0000 |-0.0002 |0.0115 |
135.799 | 0.000 | 0.000 | -0.017 | 0.0151 |-0.0038 |0.0000 |-0.0003 |0.0118 |
136.561 | 0.000 | 0.000 | -0.018 | 0.0155 |-0.0039 |0.0000 |-0.0003 |0.0122 |
137.313 | 0.000 | 0.000 | -0.018 | 0.0159 |-0.0040 |0.0000 |-0.0003 |0.0126 |
138.055 | 0.000 | 0.000 | -0.019 | 0.0164 |-0.0041 |0.0000 |-0.0003 |0.0129 |
138.787 | 0.000 | 0.000 | -0.020 | 0.0168 |-0.0042 |0.0000 |-0.0003 |0.0133 |
139.509 | 0.000 | 0.000 | -0.020 | 0.0172 |-0.0043 |0.0000 |-0.0003 |0.0137 |
140.223 | 0.000 | 0.000 | -0.021 | 0.0176 |-0.0044 |0.0000 |-0.0003 |0.0140 |
140.927 | 0.000 | 0.000 | -0.021 | 0.0180 |-0.0045 |0.0000 |-0.0003 |0.0144 |
141.622 | 0.000 | 0.000 | -0.022 | 0.0184 |-0.0046 |0.0000 |-0.0003 |0.0148 |
142.309 | 0.000 | 0.000 | -0.023 | 0.0188 |-0.0047 |0.0000 |-0.0003 |0.0151 |
142.988 | 0.000 | 0.000 | -0.023 | 0.0193 |-0.0048 |0.0000 |-0.0003 |0.0155 |
143.659 | 0.000 | 0.000 | -0.024 | 0.0197 |-0.0049 |0.0000 |-0.0003 |0.0158 |
144.322 | 0.000 | 0.000 | -0.025 | 0.0201 |-0.0050 |0.0000 |-0.0003 |0.0162 |
144.977 | 0.000 | 0.000 | -0.025 | 0.0205 |-0.0051 |0.0000 |-0.0004 |0.0166 |
145.625 | 0.000 | 0.000 | -0.026 | 0.0209 |-0.0052 |0.0000 |-0.0004 |0.0169 |
146.266 | 0.000 | 0.000 | -0.027 | 0.0213 |-0.0053 |0.0000 |-0.0004 |0.0173 |
146.900 | 0.000 | 0.000 | -0.027 | 0.0217 |-0.0054 |0.0000 |-0.0004 |0.0177 |
147.528 | 0.000 | 0.000 | -0.028 | 0.0222 |-0.0055 |0.0000 |-0.0004 |0.0180 |
148.148 | 0.000 | 0.000 | -0.029 | 0.0226 |-0.0056 |0.0000 |-0.0004 |0.0184 |
148.762 | 0.000 | 0.000 | -0.029 | 0.0230 |-0.0057 |0.0000 |-0.0004 |0.0188 |
149.370 | 0.000 | 0.000 | -0.030 | 0.0234 |-0.0058 |0.0000 |-0.0004 |0.0191 |
149.972 | 0.000 | 0.000 | -0.031 | 0.0238 |-0.0059 |0.0000 |-0.0004 |0.0195 |
150.567 | 0.000 | 0.000 | -0.032 | 0.0242 |-0.0060 |0.0000 |-0.0004 |0.0198 |
151.157 | 0.000 | 0.000 | -0.032 | 0.0246 |-0.0061 |0.0000 |-0.0004 |0.0202 |
151.741 | 0.000 | 0.000 | -0.033 | 0.0250 |-0.0062 |0.0000 |-0.0004 |0.0206 |
152.319 | 0.000 | 0.000 | -0.034 | 0.0254 |-0.0063 |0.0000 |-0.0004 |0.0209 |
152.892 | 0.000 | 0.000 | -0.034 | 0.0259 |-0.0064 |0.0000 |-0.0005 |0.0213 |
153.460 | 0.000 | 0.000 | -0.035 | 0.0263 |-0.0065 |0.0000 |-0.0005 |0.0216 |
154.022 | 0.000 | 0.000 | -0.036 | 0.0267 |-0.0066 |0.0000 |-0.0005 |0.0220 |
154.579 | 0.000 | 0.000 | -0.037 | 0.0271 |-0.0067 |0.0000 |-0.0005 |0.0224 |
155.131 | 0.000 | 0.000 | -0.037 | 0.0275 |-0.0068 |0.0000 |-0.0005 |0.0227 |
155.679 | 0.000 | 0.000 | -0.038 | 0.0279 |-0.0069 |0.0000 |-0.0005 |0.0231 |
156.221 | 0.000 | 0.000 | -0.039 | 0.0283 |-0.0070 |0.0000 |-0.0005 |0.0235 |
156.759 | 0.000 | 0.000 | -0.039 | 0.0287 |-0.0071 |0.0000 |-0.0005 |0.0238 |
157.292 | 0.000 | 0.000 | -0.040 | 0.0291 |-0.0072 |0.0000 |-0.0005 |0.0242 |
157.820 | 0.000 | 0.000 | -0.041 | 0.0295 |-0.0073 |0.0000 |-0.0005 |0.0245 |
158.345 | 0.000 | 0.000 | -0.042 | 0.0300 |-0.0074 |0.0000 |-0.0005 |0.0249 |
158.864 | 0.000 | 0.000 | -0.042 | 0.0304 |-0.0075 |0.0000 |-0.0005 |0.0253 |
159.380 | 0.000 | 0.000 | -0.043 | 0.0308 |-0.0076 |0.0000 |-0.0006 |0.0256 |
159.891 | 0.000 | 0.000 | -0.044 | 0.0312 |-0.0077 |0.0000 |-0.0006 |0.0260 |
160.398 | 0.000 | 0.000 | -0.045 | 0.0316 |-0.0077 |0.0000 |-0.0006 |0.0263 |
160.901 | 0.000 | 0.000 | -0.045 | 0.0320 |-0.0078 |0.0000 |-0.0006 |0.0267 |
161.400 | 0.000 | 0.000 | -0.046 | 0.0324 |-0.0079 |0.0000 |-0.0006 |0.0271 |
161.896 | 0.000 | 0.000 | -0.047 | 0.0328 |-0.0080 |0.0000 |-0.0006 |0.0274 |
162.387 | 0.000 | 0.000 | -0.048 | 0.0332 |-0.0081 |0.0000 |-0.0006 |0.0278 |
162.875 | 0.000 | 0.000 | -0.048 | 0.0336 |-0.0082 |0.0000 |-0.0006 |0.0281 |
163.359 | 0.000 | 0.000 | -0.049 | 0.0340 |-0.0083 |0.0000 |-0.0006 |0.0285 |
163.839 | 0.000 | 0.000 | -0.050 | 0.0344 |-0.0084 |0.0000 |-0.0006 |0.0289 |
164.316 | 0.000 | 0.000 | -0.051 | 0.0348 |-0.0085 |0.0000 |-0.0006 |0.0292 |
164.790 | 0.000 | 0.000 | -0.051 | 0.0353 |-0.0086 |0.0000 |-0.0006 |0.0296 |
165.260 | 0.000 | 0.000 | -0.052 | 0.0357 |-0.0087 |0.0000 |-0.0006 |0.0299 |
165.726 | 0.000 | 0.000 | -0.053 | 0.0361 |-0.0088 |0.0000 |-0.0007 |0.0303 |
166.190 | 0.000 | 0.000 | -0.054 | 0.0365 |-0.0089 |0.0000 |-0.0007 |0.0307 |
166.650 | 0.000 | 0.000 | -0.055 | 0.0369 |-0.0090 |0.0000 |-0.0007 |0.0310 |
167.106 | 0.000 | 0.000 | -0.055 | 0.0373 |-0.0091 |0.0000 |-0.0007 |0.0314 |
167.560 | 0.000 | 0.000 | -0.056 | 0.0377 |-0.0092 |0.0000 |-0.0007 |0.0317 |
168.010 | 0.000 | 0.000 | -0.057 | 0.0381 |-0.0093 |0.0000 |-0.0007 |0.0321 |
168.458 | 0.000 | 0.000 | -0.058 | 0.0385 |-0.0094 |0.0000 |-0.0007 |0.0325 |
168.902 | 0.000 | 0.000 | -0.058 | 0.0389 |-0.0095 |0.0000 |-0.0007 |0.0328 |
169.344 | 0.000 | 0.000 | -0.059 | 0.0393 |-0.0096 |0.0000 |-0.0007 |0.0332 |
169.782 | 0.000 | 0.000 | -0.060 | 0.0397 |-0.0097 |0.0000 |-0.0007 |0.0335 |
170.218 | 0.000 | 0.000 | -0.061 | 0.0401 |-0.0098 |0.0000 |-0.0007 |0.0339 |
170.651 | 0.000 | 0.000 | -0.062 | 0.0405 |-0.0099 |0.0000 |-0.0007 |0.0343 |
171.081 | 0.000 | 0.000 | -0.062 | 0.0409 |-0.0100 |0.0000 |-0.0007 |0.0346 |
171.508 | 0.000 | 0.000 | -0.063 | 0.0413 |-0.0101 |0.0000 |-0.0008 |0.0350 |
171.933 | 0.000 | 0.000 | -0.064 | 0.0417 |-0.0102 |0.0000 |-0.0008 |0.0353 |
172.355 | 0.000 | 0.000 | -0.065 | 0.0421 |-0.0103 |0.0000 |-0.0008 |0.0357 |
172.774 | 0.000 | 0.000 | -0.066 | 0.0425 |-0.0104 |0.0000 |-0.0008 |0.0360 |
173.191 | 0.000 | 0.000 | -0.066 | 0.0430 |-0.0105 |0.0000 |-0.0008 |0.0364 |
173.605 | 0.000 | 0.000 | -0.067 | 0.0434 |-0.0106 |0.0000 |-0.0008 |0.0368 |
174.017 | 0.000 | 0.000 | -0.068 | 0.0438 |-0.0107 |0.0000 |-0.0008 |0.0371 |
174.426 | 0.000 | 0.000 | -0.069 | 0.0442 |-0.0108 |0.0000 |-0.0008 |0.0375 |
174.833 | 0.000 | 0.000 | -0.070 | 0.0446 |-0.0109 |0.0000 |-0.0008 |0.0378 |
