Test angle: 45
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | 0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | 0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | -0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | 0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | 0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
102.725 | 0.000 | 0.000 | -0.000 | 0.0016 |-0.0005 |0.0000 |-0.0000 |0.0001 |
103.138 | 0.000 | 0.000 | -0.000 | 0.0017 |-0.0005 |0.0000 |-0.0000 |0.0002 |
103.544 | 0.000 | 0.000 | -0.000 | 0.0018 |-0.0006 |0.0000 |-0.0000 |0.0003 |
103.946 | 0.000 | 0.000 | -0.001 | 0.0019 |-0.0006 |0.0000 |-0.0000 |0.0004 |
104.539 | 0.000 | 0.000 | -0.001 | 0.0021 |-0.0006 |0.0000 |-0.0000 |0.0005 |
105.410 | 0.000 | 0.000 | -0.001 | 0.0023 |-0.0007 |0.0000 |-0.0000 |0.0007 |
106.679 | 0.000 | 0.000 | -0.002 | 0.0027 |-0.0008 |0.0000 |-0.0000 |0.0010 |
108.131 | 0.000 | 0.000 | -0.002 | 0.0031 |-0.0009 |0.0000 |-0.0000 |0.0014 |
109.531 | -0.000 | 0.000 | -0.003 | 0.0035 |-0.0009 |0.0000 |-0.0001 |0.0018 |
110.887 | 0.000 | 0.000 | -0.003 | 0.0040 |-0.0010 |0.0000 |-0.0001 |0.0022 |
112.200 | -0.000 | 0.000 | -0.004 | 0.0044 |-0.0011 |0.0000 |-0.0001 |0.0025 |
113.475 | -0.000 | 0.000 | -0.005 | 0.0048 |-0.0012 |0.0000 |-0.0001 |0.0029 |
114.714 | 0.000 | 0.000 | -0.005 | 0.0052 |-0.0013 |0.0000 |-0.0001 |0.0033 |
115.919 | 0.000 | 0.000 | -0.006 | 0.0057 |-0.0014 |0.0000 |-0.0001 |0.0036 |
117.094 | 0.000 | 0.000 | -0.007 | 0.0061 |-0.0015 |0.0000 |-0.0001 |0.0040 |
118.239 | 0.000 | 0.000 | -0.008 | 0.0065 |-0.0016 |0.0000 |-0.0001 |0.0044 |
119.357 | 0.000 | 0.000 | -0.008 | 0.0069 |-0.0017 |0.0000 |-0.0001 |0.0048 |
120.449 | 0.000 | 0.000 | -0.009 | 0.0074 |-0.0018 |0.0000 |-0.0002 |0.0051 |
121.517 | 0.000 | 0.000 | -0.010 | 0.0078 |-0.0019 |0.0000 |-0.0002 |0.0055 |
122.562 | 0.000 | 0.000 | -0.011 | 0.0082 |-0.0020 |0.0000 |-0.0002 |0.0059 |
123.585 | 0.000 | 0.000 | -0.011 | 0.0086 |-0.0021 |0.0000 |-0.0002 |0.0062 |
124.587 | 0.000 | 0.000 | -0.012 | 0.0090 |-0.0022 |0.0000 |-0.0002 |0.0066 |
125.569 | 0.000 | 0.000 | -0.013 | 0.0095 |-0.0023 |0.0000 |-0.0002 |0.0070 |
126.532 | 0.000 | 0.000 | -0.014 | 0.0099 |-0.0024 |0.0000 |-0.0002 |0.0073 |
127.478 | 0.000 | 0.000 | -0.015 | 0.0103 |-0.0025 |0.0000 |-0.0002 |0.0077 |
128.406 | 0.000 | 0.000 | -0.015 | 0.0107 |-0.0026 |0.0000 |-0.0002 |0.0081 |
129.317 | 0.000 | 0.000 | -0.016 | 0.0111 |-0.0027 |0.0000 |-0.0003 |0.0084 |
130.213 | 0.000 | 0.000 | -0.017 | 0.0116 |-0.0027 |0.0000 |-0.0003 |0.0088 |
131.094 | 0.000 | 0.000 | -0.018 | 0.0120 |-0.0028 |0.0000 |-0.0003 |0.0092 |
131.960 | 0.000 | 0.000 | -0.019 | 0.0124 |-0.0029 |0.0000 |-0.0003 |0.0095 |
132.812 | -0.000 | 0.000 | -0.019 | 0.0128 |-0.0030 |0.0000 |-0.0003 |0.0099 |
133.651 | 0.000 | 0.000 | -0.020 | 0.0132 |-0.0031 |0.0000 |-0.0003 |0.0103 |
134.476 | 0.000 | 0.000 | -0.021 | 0.0136 |-0.0032 |0.0000 |-0.0003 |0.0106 |
135.289 | 0.000 | 0.000 | -0.022 | 0.0141 |-0.0033 |0.0000 |-0.0003 |0.0110 |
136.090 | 0.000 | 0.000 | -0.023 | 0.0145 |-0.0034 |0.0000 |-0.0003 |0.0114 |
136.880 | 0.000 | 0.000 | -0.024 | 0.0149 |-0.0035 |0.0000 |-0.0004 |0.0117 |
137.658 | 0.000 | 0.000 | -0.025 | 0.0153 |-0.0036 |0.0000 |-0.0004 |0.0121 |
138.425 | 0.000 | 0.000 | -0.026 | 0.0157 |-0.0037 |0.0000 |-0.0004 |0.0125 |
139.182 | 0.000 | 0.000 | -0.026 | 0.0161 |-0.0038 |0.0000 |-0.0004 |0.0128 |
139.929 | 0.000 | 0.000 | -0.027 | 0.0166 |-0.0039 |0.0000 |-0.0004 |0.0132 |
140.666 | 0.000 | 0.000 | -0.028 | 0.0170 |-0.0039 |0.0000 |-0.0004 |0.0136 |
141.393 | 0.000 | 0.000 | -0.029 | 0.0174 |-0.0040 |0.0000 |-0.0004 |0.0139 |
142.111 | 0.000 | 0.000 | -0.030 | 0.0178 |-0.0041 |0.0000 |-0.0004 |0.0143 |
142.821 | 0.000 | 0.000 | -0.031 | 0.0182 |-0.0042 |0.0000 |-0.0004 |0.0147 |
143.521 | 0.000 | 0.000 | -0.032 | 0.0186 |-0.0043 |0.0000 |-0.0005 |0.0150 |
144.213 | 0.000 | 0.000 | -0.033 | 0.0190 |-0.0044 |0.0000 |-0.0005 |0.0154 |
144.896 | 0.000 | 0.000 | -0.034 | 0.0194 |-0.0045 |0.0000 |-0.0005 |0.0158 |
145.572 | 0.000 | 0.000 | -0.035 | 0.0199 |-0.0046 |0.0000 |-0.0005 |0.0161 |
146.240 | 0.000 | 0.000 | -0.036 | 0.0203 |-0.0047 |0.0000 |-0.0005 |0.0165 |
146.901 | 0.000 | 0.000 | -0.037 | 0.0207 |-0.0048 |0.0000 |-0.0005 |0.0169 |
147.554 | 0.000 | 0.000 | -0.038 | 0.0211 |-0.0049 |0.0000 |-0.0005 |0.0172 |
148.199 | 0.000 | 0.000 | -0.039 | 0.0215 |-0.0050 |0.0000 |-0.0005 |0.0176 |
148.838 | 0.000 | 0.000 | -0.040 | 0.0219 |-0.0050 |0.0000 |-0.0005 |0.0180 |
149.470 | 0.000 | 0.000 | -0.041 | 0.0223 |-0.0051 |0.0000 |-0.0006 |0.0183 |
150.096 | 0.000 | 0.000 | -0.042 | 0.0227 |-0.0052 |0.0000 |-0.0006 |0.0187 |
150.714 | 0.000 | 0.000 | -0.043 | 0.0232 |-0.0053 |0.0000 |-0.0006 |0.0191 |
151.327 | 0.000 | 0.000 | -0.044 | 0.0236 |-0.0054 |0.0000 |-0.0006 |0.0194 |
151.933 | 0.000 | 0.000 | -0.045 | 0.0240 |-0.0055 |0.0000 |-0.0006 |0.0198 |
152.534 | 0.000 | 0.000 | -0.046 | 0.0244 |-0.0056 |0.0000 |-0.0006 |0.0202 |
153.128 | 0.000 | 0.000 | -0.047 | 0.0248 |-0.0057 |0.0000 |-0.0006 |0.0205 |
153.717 | 0.000 | 0.000 | -0.048 | 0.0252 |-0.0058 |0.0000 |-0.0006 |0.0209 |
154.300 | 0.000 | 0.000 | -0.049 | 0.0256 |-0.0059 |0.0000 |-0.0006 |0.0213 |
154.878 | 0.000 | 0.000 | -0.050 | 0.0260 |-0.0060 |0.0000 |-0.0007 |0.0216 |
155.450 | 0.000 | 0.000 | -0.051 | 0.0264 |-0.0061 |0.0000 |-0.0007 |0.0220 |
156.017 | 0.000 | 0.000 | -0.052 | 0.0268 |-0.0061 |0.0000 |-0.0007 |0.0223 |
156.578 | 0.000 | 0.000 | -0.053 | 0.0272 |-0.0062 |0.0000 |-0.0007 |0.0227 |
157.135 | 0.000 | 0.000 | -0.054 | 0.0277 |-0.0063 |0.0000 |-0.0007 |0.0231 |
157.687 | 0.000 | 0.000 | -0.055 | 0.0281 |-0.0064 |0.0000 |-0.0007 |0.0234 |
158.234 | 0.000 | 0.000 | -0.056 | 0.0285 |-0.0065 |0.0000 |-0.0007 |0.0238 |
158.776 | 0.000 | 0.000 | -0.057 | 0.0289 |-0.0066 |0.0000 |-0.0007 |0.0242 |
159.314 | 0.000 | 0.000 | -0.058 | 0.0293 |-0.0067 |0.0000 |-0.0007 |0.0245 |
159.847 | 0.000 | 0.000 | -0.059 | 0.0297 |-0.0068 |0.0000 |-0.0008 |0.0249 |
160.375 | 0.000 | 0.000 | -0.060 | 0.0301 |-0.0069 |0.0000 |-0.0008 |0.0253 |
160.900 | 0.000 | 0.000 | -0.061 | 0.0305 |-0.0070 |0.0000 |-0.0008 |0.0256 |
161.419 | 0.000 | 0.000 | -0.062 | 0.0309 |-0.0070 |0.0000 |-0.0008 |0.0260 |
161.935 | 0.000 | 0.000 | -0.063 | 0.0313 |-0.0071 |0.0000 |-0.0008 |0.0263 |
162.447 | 0.000 | 0.000 | -0.064 | 0.0317 |-0.0072 |0.0000 |-0.0008 |0.0267 |
162.954 | 0.000 | 0.000 | -0.066 | 0.0321 |-0.0073 |0.0000 |-0.0008 |0.0271 |
163.458 | 0.000 | 0.000 | -0.067 | 0.0326 |-0.0074 |0.0000 |-0.0008 |0.0274 |
163.958 | 0.000 | 0.000 | -0.068 | 0.0330 |-0.0075 |0.0000 |-0.0008 |0.0278 |
164.454 | 0.000 | 0.000 | -0.069 | 0.0334 |-0.0076 |0.0000 |-0.0009 |0.0282 |
164.946 | 0.000 | 0.000 | -0.070 | 0.0338 |-0.0077 |0.0000 |-0.0009 |0.0285 |
165.434 | 0.000 | 0.000 | -0.071 | 0.0342 |-0.0078 |0.0000 |-0.0009 |0.0289 |
165.919 | 0.000 | 0.000 | -0.072 | 0.0346 |-0.0079 |0.0000 |-0.0009 |0.0292 |
166.400 | 0.000 | 0.000 | -0.073 | 0.0350 |-0.0079 |0.0000 |-0.0009 |0.0296 |
166.877 | 0.000 | 0.000 | -0.074 | 0.0354 |-0.0080 |0.0000 |-0.0009 |0.0300 |
167.352 | 0.000 | 0.000 | -0.075 | 0.0358 |-0.0081 |0.0000 |-0.0009 |0.0303 |
167.822 | 0.000 | 0.000 | -0.077 | 0.0362 |-0.0082 |0.0000 |-0.0009 |0.0307 |
168.290 | 0.000 | 0.000 | -0.078 | 0.0366 |-0.0083 |0.0000 |-0.0009 |0.0311 |
168.754 | 0.000 | 0.000 | -0.079 | 0.0370 |-0.0084 |0.0000 |-0.0010 |0.0314 |
169.215 | 0.000 | 0.000 | -0.080 | 0.0374 |-0.0085 |0.0000 |-0.0010 |0.0318 |
169.673 | 0.000 | 0.000 | -0.081 | 0.0378 |-0.0086 |0.0000 |-0.0010 |0.0321 |
170.127 | 0.000 | 0.000 | -0.082 | 0.0382 |-0.0087 |0.0000 |-0.0010 |0.0325 |
170.579 | 0.000 | 0.000 | -0.083 | 0.0386 |-0.0088 |0.0000 |-0.0010 |0.0329 |
171.027 | 0.000 | 0.000 | -0.084 | 0.0390 |-0.0088 |0.0000 |-0.0010 |0.0332 |
171.473 | 0.000 | 0.000 | -0.086 | 0.0394 |-0.0089 |0.0000 |-0.0010 |0.0336 |
171.916 | 0.000 | 0.000 | -0.087 | 0.0399 |-0.0090 |0.0000 |-0.0010 |0.0340 |
172.355 | 0.000 | 0.000 | -0.088 | 0.0403 |-0.0091 |0.0000 |-0.0010 |0.0343 |
172.792 | 0.000 | 0.000 | -0.089 | 0.0407 |-0.0092 |0.0000 |-0.0011 |0.0347 |
173.226 | 0.000 | 0.000 | -0.090 | 0.0411 |-0.0093 |0.0000 |-0.0011 |0.0350 |
173.658 | 0.000 | 0.000 | -0.091 | 0.0415 |-0.0094 |0.0000 |-0.0011 |0.0354 |
174.086 | 0.000 | 0.000 | -0.093 | 0.0419 |-0.0095 |0.0000 |-0.0011 |0.0358 |
174.512 | 0.000 | 0.000 | -0.094 | 0.0423 |-0.0096 |0.0000 |-0.0011 |0.0361 |
174.935 | 0.000 | 0.000 | -0.095 | 0.0427 |-0.0097 |0.0000 |-0.0011 |0.0365 |
175.356 | 0.000 | 0.000 | -0.096 | 0.0431 |-0.0097 |0.0000 |-0.0011 |0.0368 |
