(1.0013396739959717, {-0.3523569107055664}, -0.007180295884609222)
(0.9867804050445557, {-0.3199884593486786}, 0.36814630031585693)
(0.951901912689209, {-0.243962824344635}, 0.6591739058494568)
(0.9111601710319519, {-0.15969249606132507}, 0.8498019576072693)
(0.8691255450248718, {-0.08385641872882843}, 0.9784067869186401)
(0.8236348628997803, {-0.016799772158265114}, 1.0772602558135986)
(0.7712591290473938, {0.04898453876376152}, 1.1605002880096436)
(0.7075099945068359, {0.1239275336265564}, 1.232070803642273)
(0.6270323395729065, {0.2160188853740692}, 1.2905532121658325)
(0.52757328748703, {0.32546383142471313}, 1.330074667930603)
(0.41430747509002686, {0.4441169798374176}, 1.3427858352661133)
(0.29829084873199463, {0.5607286691665649}, 1.3239877223968506)
(0.1908877193927765, {0.6653003096580505}, 1.2763242721557617)
(0.09990930557250977, {0.7505258917808533}, 1.210033655166626)
(0.027045825496315956, {0.8142988085746765}, 1.1374467611312866)
(-0.03357115387916565, {0.8608755469322205}, 1.064643383026123)
(-0.09364569187164307, {0.8978432416915894}, 0.9864479899406433)
(-0.16601289808750153, {0.9321872591972351}, 0.8840948343276978)
(-0.2563296854496002, {0.9679997563362122}, 0.7190808057785034)
(-0.34740760922431946, {1.0024195909500122}, 0.43134355545043945)
(-0.38798007369041443, {1.0187203884124756}, 0.002454980742186308)
